#,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,DDOG,Datadog Inc,Technology,Software - Application,USA,52.90B,331.82,153.17,13.45%,15492110
2,SYM,Symbotic Inc,Industrials,Specialty Industrial Machinery,USA,27.37B,-,46.42,10.00%,2357212
3,SMMT,Summit Therapeutics Inc,Healthcare,Biotechnology,USA,16.99B,-,22.88,1.13%,8059256
4,CNC,Centene Corp,Healthcare,Healthcare Plans,USA,16.91B,5.06,33.98,0.59%,17858752
5,BULL,Webull Corp,Technology,Software - Application,USA,6.62B,92.66,14.34,2.32%,18140359
6,GMS,GMS Inc,Industrials,Building Products & Equipment,USA,4.16B,37.77,109.18,0.11%,1723978
7,TRIP,TripAdvisor Inc,Consumer Cyclical,Travel Services,USA,2.30B,48.29,17.60,17.44%,8536557
8,BLTE,Belite Bio Inc ADR,Healthcare,Biotechnology,USA,1.92B,-,59.12,4.07%,58833
9,OLO,Olo Inc,Technology,Software - Application,USA,1.69B,578.57,10.12,13.64%,34220701
10,LNN,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.61B,21.23,147.80,0.47%,142881
11,VRNT,"Verint Systems, Inc",Technology,Software - Infrastructure,USA,1.26B,26.88,20.88,-2.61%,2204033
12,BFC,Bank First Corp,Financial,Banks - Regional,USA,1.24B,18.32,124.70,1.38%,122102
13,PRA,Proassurance Corporation,Financial,Insurance - Property & Casualty,USA,1.21B,28.59,23.60,2.76%,1918370
14,BTBT,Bit Digital Inc,Financial,Capital Markets,USA,809.48M,-,2.86,8.56%,48545639
15,SBET,SharpLink Gaming Inc,Consumer Cyclical,Gambling,USA,786.81M,-,12.17,1.63%,23888375
16,NPK,"National Presto Industries, Inc",Industrials,Aerospace & Defense,USA,748.32M,17.54,104.70,0.45%,84837
17,BMNR,BitMine Immersion Technologies Inc,Financial,Capital Markets,USA,717.42M,-,116.46,99.08%,18293725
18,NPWR,NET Power Inc,Industrials,Specialty Industrial Machinery,USA,649.53M,-,2.96,16.73%,1954384
19,CASS,Cass Information Systems Inc,Industrials,Specialty Business Services,USA,616.76M,30.18,46.17,1.08%,97149
20,BHK,BlackRock Core Bond Trust,Financial,Closed-End Fund - Debt,USA,525.97M,53.94,9.71,-0.31%,624428
