,datetime,actual_state,actual,forecast
81,2008-03-05,down,-23,10.0
82,2008-04-02,up,8,-40.0
83,2008-04-30,up,13,-60.0
84,2008-06-04,up,40,-30.0
85,2008-07-02,down,-79,-20.0
86,2008-07-30,up,9,-58.0
87,2008-09-04,down,-33,-30.0
88,2008-10-01,up,-8,-55.0
89,2008-11-05,down,-157,-100.0
90,2008-12-03,down,-476,-200.0
91,2009-01-07,down,-693,-450.0
92,2009-02-04,down,-614,-528.0
93,2009-03-04,down,-706,-565.0
94,2009-04-01,down,-708,-660.0
95,2009-05-06,up,-545,-644.0
96,2009-06-03,up,-485,-532.0
97,2009-07-01,down,-463,-410.0
98,2009-08-05,down,-360,-340.0
99,2009-09-02,down,-277,-250.0
100,2009-09-30,down,-227,-200.0
101,2009-11-04,down,-195,-190.0
102,2009-12-02,up,-145,-148.0
103,2010-01-06,up,-61,-75.0
104,2010-02-03,down,-60,-40.0
105,2010-03-03,down,-24,-10.0
106,2010-03-31,down,19,40.0
107,2010-05-05,up,65,30.0
108,2010-06-03,up,57,56.0
109,2010-06-30,down,19,58.0
110,2010-08-04,up,37,25.0
111,2010-09-01,down,10,13.0
112,2010-10-06,down,-2,18.0
113,2010-11-03,up,82,25.0
114,2010-12-01,up,92,65.0
115,2011-01-05,up,247,100.0
116,2011-02-02,up,189,150.0
117,2011-03-02,up,208,175.0
118,2011-03-30,down,207,210.0
119,2011-05-04,down,177,200.0
120,2011-06-01,down,36,178.0
121,2011-07-07,up,145,60.0
122,2011-08-03,up,109,100.0
123,2011-08-31,down,89,103.0
124,2011-10-05,up,116,70.0
125,2011-11-02,up,130,100.0
126,2011-11-30,up,204,130.0
127,2012-01-05,up,292,175.0
128,2012-02-01,down,173,190.0
129,2012-03-07,up,230,205.0
130,2012-04-04,up,201,200.0
131,2012-05-02,down,113,177.0
132,2012-05-31,down,136,148.0
133,2012-07-05,up,172,105.0
134,2012-08-01,up,173,120.0
135,2012-09-06,up,189,140.0
136,2012-10-03,down,114,143.0
137,2012-11-01,up,157,135.0
138,2012-12-05,up,148,125.0
139,2013-01-03,up,185,133.0
140,2013-01-30,up,215,165.0
141,2013-03-06,up,237,170.0
142,2013-04-03,down,131,200.0
143,2013-05-01,down,113,150.0
144,2013-06-05,down,134,165.0
145,2013-07-03,up,198,160.0
146,2013-07-31,up,198,180.0
147,2013-09-05,down,159,180.0
148,2013-10-02,down,145,180.0
149,2013-10-30,up,184,150.0
150,2013-12-04,up,229,173.0
151,2014-01-08,up,227,200.0
152,2014-02-05,down,127,180.0
153,2014-03-05,up,178,160.0
154,2014-04-02,up,209,195.0
155,2014-04-30,up,215,210.0
156,2014-06-04,down,179,210.0
157,2014-07-02,up,281,200.0
158,2014-07-30,down,212,230.0
159,2014-09-04,down,202,220.0
160,2014-10-01,up,225,210.0
161,2014-11-05,up,233,220.0
162,2014-12-03,up,227,223.0
163,2015-01-07,up,253,226.0
164,2015-02-04,up,250,225.0
165,2015-03-04,down,214,220.0
166,2015-04-01,down,175,225.0
167,2015-05-06,down,165,200.0
168,2015-06-03,up,203,200.0
169,2015-07-01,up,229,218.0
170,2015-08-05,down,177,215.0
171,2015-09-02,down,186,201.0
172,2015-09-30,down,190,194.0
173,2015-11-04,up,196,180.0
174,2015-12-02,up,211,190.0
175,2016-01-06,up,267,192.0
176,2016-02-03,down,193,195.0
177,2016-03-02,up,205,190.0
178,2016-03-30,neutral,194,194.0
179,2016-05-04,down,166,196.0
180,2016-06-02,down,168,175.0
181,2016-07-07,up,176,159.0
182,2016-08-03,up,194,170.0
183,2016-08-31,neutral,175,175.0
184,2016-10-05,up,202,166.0
185,2016-11-02,down,119,165.0
186,2016-11-30,up,215,165.0
187,2017-01-05,down,151,170.0
188,2017-02-01,up,261,165.0
189,2017-03-08,up,245,190.0
190,2017-04-05,up,255,187.0
191,2017-05-03,down,174,175.0
192,2017-06-01,up,230,185.0
193,2017-07-06,up,191,185.0
194,2017-08-02,up,201,185.0
195,2017-08-30,up,228,183.0
196,2017-10-04,down,110,125.0
197,2017-11-01,up,235,200.0
198,2017-12-06,neutral,185,185.0
199,2018-01-04,up,242,191.0
200,2018-01-31,up,244,186.0
201,2018-03-07,up,246,195.0
202,2018-04-04,up,228,208.0
203,2018-05-02,down,163,200.0
204,2018-05-30,up,189,186.0
205,2018-07-05,down,181,190.0
206,2018-08-01,up,217,186.0
207,2018-09-06,down,168,188.0
208,2018-10-03,up,218,187.0
209,2018-10-31,up,225,189.0
210,2018-12-06,down,157,196.0
211,2019-01-03,up,263,179.0
212,2019-01-30,up,300,180.0
213,2019-03-06,up,197,189.0
214,2019-04-03,down,151,184.0
215,2019-05-01,up,271,181.0
216,2019-06-05,down,41,180.0
217,2019-07-03,down,112,140.0
218,2019-07-31,down,142,150.0
219,2019-09-05,up,157,148.0
220,2019-10-02,down,93,140.0
221,2019-10-30,up,121,120.0
222,2019-12-04,down,124,140.0
223,2020-01-08,up,199,160.0
224,2020-02-05,up,209,156.0
225,2020-03-04,up,183,170.0
226,2020-04-01,up,-149,-150.0
227,2020-05-06,up,-19557,-20050.0
228,2020-06-03,up,3065,-9000.0
229,2020-07-01,up,4314,3000.0
230,2020-08-05,down,212,1500.0
231,2020-09-02,down,481,950.0
232,2020-09-30,up,749,650.0
233,2020-11-04,down,404,650.0
234,2020-12-02,down,304,410.0
235,2021-01-06,down,-78,88.0
236,2021-02-03,up,195,49.0
237,2021-03-03,down,176,177.0
238,2021-03-31,up,565,550.0
239,2021-05-05,down,654,800.0
240,2021-06-03,up,886,650.0
241,2021-06-30,up,680,600.0
242,2021-08-04,down,326,695.0
243,2021-09-01,down,340,613.0
244,2021-10-06,up,523,428.0
245,2021-11-03,up,570,400.0
246,2021-12-01,down,505,525.0
247,2022-01-05,up,776,400.0
248,2022-02-02,up,509,207.0
249,2022-03-02,up,486,378.0
250,2022-03-30,up,479,450.0
251,2022-05-04,down,202,395.0
252,2022-06-02,down,268,300.0
253,2022-08-31,down,185,300.0
254,2022-10-05,down,192,200.0
255,2022-11-02,up,239,195.0
256,2022-11-30,down,182,200.0
257,2023-01-05,up,253,150.0
258,2023-02-01,down,119,178.0
259,2023-03-08,up,261,200.0
260,2023-04-05,down,142,200.0
261,2023-05-03,up,291,148.0
262,2023-06-01,up,267,170.0
263,2023-07-06,up,455,228.0
264,2023-08-02,up,371,189.0
265,2023-08-30,down,180,195.0
266,2023-10-04,down,89,153.0
267,2023-11-01,down,106,150.0
268,2023-12-06,down,101,130.0
269,2024-01-04,up,158,115.0
270,2024-01-31,down,111,145.0
271,2024-03-06,up,155,149.0
272,2024-04-03,up,208,148.0
273,2024-05-01,up,188,179.0
274,2024-06-05,down,157,173.0
275,2024-07-03,down,155,163.0
276,2024-07-31,down,111,147.0
277,2024-09-05,down,103,144.0
278,2024-10-02,up,159,124.0
279,2024-10-30,up,184,110.0
280,2024-12-04,down,146,166.0
281,2025-01-08,up,176,139.0
282,2025-02-05,up,186,148.0
283,2025-03-05,down,84,141.0
284,2025-04-02,up,147,118.0
285,2025-04-30,down,60,114.0
286,2025-06-04,down,29,111.0
287,2025-07-02,down,-33,99.0
