,datetime,actual_state,actual,forecast
22,2008-03-07,neutral,0.3,0.3
23,2008-04-04,neutral,0.3,0.3
24,2008-05-02,down,0.1,0.3
25,2008-06-06,up,0.3,0.2
26,2008-07-03,neutral,0.3,0.3
27,2008-08-01,neutral,0.3,0.3
28,2008-09-05,up,0.4,0.3
29,2008-10-03,down,0.2,0.3
30,2008-11-07,neutral,0.2,0.2
31,2008-12-05,up,0.4,0.2
32,2009-01-09,up,0.3,0.2
33,2009-02-06,up,0.3,0.2
34,2009-03-06,down,0.2,0.3
35,2009-04-03,neutral,0.2,0.2
36,2009-05-08,down,0.1,0.2
37,2009-06-05,up,0.2,0.1
38,2009-07-02,down,0.0,0.2
39,2009-08-07,up,0.3,0.1
40,2009-09-04,up,0.4,0.1
41,2009-10-02,down,0.1,0.2
42,2009-11-06,up,0.3,0.1
43,2009-12-04,neutral,0.2,0.2
44,2010-01-08,neutral,0.2,0.2
45,2010-02-05,up,0.3,0.2
46,2010-03-05,neutral,0.2,0.2
47,2010-04-02,down,-0.1,0.2
48,2010-05-07,down,0.1,0.2
49,2010-06-04,up,0.2,0.1
50,2010-07-02,down,0.0,0.1
51,2010-08-06,up,0.2,0.1
52,2010-09-03,up,0.3,0.1
53,2010-10-08,neutral,0.1,0.1
54,2010-11-05,up,0.3,0.1
55,2010-12-03,down,0.0,0.1
56,2011-01-07,neutral,0.1,0.1
57,2011-02-04,up,0.4,0.2
58,2011-03-04,down,0.0,0.2
59,2011-04-01,neutral,0.2,0.2
60,2011-05-06,down,0.1,0.2
61,2011-06-03,up,0.3,0.2
62,2011-07-08,down,0.0,0.2
63,2011-08-05,up,0.5,0.2
64,2011-09-02,down,-0.2,0.2
65,2011-10-07,up,0.3,0.2
66,2011-11-04,up,0.3,0.2
67,2011-12-02,down,0.0,0.2
68,2012-01-06,down,0.1,0.2
69,2012-02-03,down,0.1,0.2
70,2012-03-09,up,0.3,0.2
71,2012-04-06,neutral,0.2,0.2
72,2012-05-04,down,0.1,0.2
73,2012-06-01,neutral,0.2,0.2
74,2012-07-06,up,0.3,0.2
75,2012-08-03,down,0.1,0.2
76,2012-09-07,down,0.0,0.2
77,2012-10-05,up,0.3,0.2
