,datetime,actual_state,actual,forecast
457,2008-02-26,down,75.0,82.0
458,2008-03-25,down,64.5,73.5
459,2008-04-29,up,62.3,61.5
460,2008-05-27,down,57.2,60.0
461,2008-06-24,down,50.4,56.4
462,2008-07-29,up,51.9,50.0
463,2008-08-26,up,56.9,53.0
464,2008-09-30,up,59.8,54.6
465,2008-10-28,down,38.0,52.2
466,2008-11-25,up,44.9,38.0
467,2008-12-30,down,38.0,45.5
468,2009-01-27,down,37.7,38.7
469,2009-02-24,down,25.0,35.5
470,2009-03-31,down,26.9,27.8
471,2009-04-28,up,40.8,29.6
472,2009-05-26,up,54.8,42.1
473,2009-06-30,down,49.3,55.8
474,2009-07-28,down,47.4,49.0
475,2009-08-25,up,54.5,48.1
476,2009-09-29,down,53.4,57.0
477,2009-10-27,down,48.7,53.4
478,2009-11-24,up,50.6,47.7
479,2009-12-29,up,53.6,53.0
480,2010-01-26,up,56.5,53.5
481,2010-02-23,down,46.4,55.0
482,2010-03-30,up,52.3,50.0
483,2010-04-27,up,57.7,53.7
484,2010-05-25,up,62.7,58.3
485,2010-06-29,down,54.3,62.0
486,2010-07-27,neutral,51.0,51.0
487,2010-08-31,up,53.2,50.0
488,2010-09-28,down,48.6,52.9
489,2010-10-26,up,49.9,49.0
490,2010-11-30,up,54.3,52.0
491,2010-12-28,down,53.3,56.1
492,2011-01-25,up,64.8,53.5
493,2011-02-22,up,72.0,65.1
494,2011-03-29,down,63.8,65.0
495,2011-04-26,up,66.0,64.4
496,2011-05-31,down,61.7,66.3
497,2011-06-28,down,57.6,60.3
498,2011-07-26,up,59.2,56.0
499,2011-08-30,down,45.2,52.2
500,2011-09-27,down,46.4,46.5
501,2011-10-25,down,40.9,46.0
502,2011-11-29,up,55.2,43.0
503,2011-12-27,up,64.8,58.2
504,2012-01-31,down,61.5,68.2
505,2012-02-28,up,71.6,63.0
506,2012-03-27,down,69.5,70.3
507,2012-04-24,down,68.7,69.7
508,2012-05-29,down,64.4,70.0
509,2012-06-26,down,62.7,63.5
510,2012-07-31,up,65.4,61.5
511,2012-08-28,down,61.3,66.0
512,2012-09-25,up,68.4,63.0
513,2012-11-01,up,73.1,72.5
514,2012-11-27,down,71.5,73.0
515,2012-12-27,down,66.7,70.0
516,2013-01-29,down,58.4,64.0
517,2013-02-26,up,68.0,61.0
518,2013-03-26,down,61.9,68.0
519,2013-04-30,up,69.0,60.8
520,2013-05-28,up,74.3,71.0
521,2013-06-25,up,82.1,75.4
522,2013-07-30,down,81.0,81.4
523,2013-08-27,up,81.8,79.0
524,2013-09-24,up,80.2,79.9
525,2013-10-29,down,72.4,75.0
526,2013-11-26,down,72.0,72.9
527,2013-12-31,up,77.5,76.0
528,2014-01-28,up,79.4,78.1
529,2014-02-25,down,78.3,80.0
530,2014-03-25,up,83.9,78.6
531,2014-04-29,down,81.7,83.0
532,2014-05-27,down,82.2,83.0
533,2014-06-24,up,86.4,83.5
534,2014-07-29,up,90.3,85.3
535,2014-08-26,up,93.4,89.0
