,datetime,actual_state,actual,forecast
508,2012-05-15,neutral,2.3,2.3
509,2012-06-14,down,1.7,1.8
510,2012-07-17,up,1.7,1.6
511,2012-08-15,down,1.4,1.6
512,2012-09-14,neutral,1.7,1.7
513,2012-10-16,up,2.0,1.9
514,2012-11-15,up,2.2,2.1
515,2012-12-14,down,1.8,1.9
516,2013-01-16,down,1.7,1.8
517,2013-02-21,neutral,1.6,1.6
518,2013-03-15,up,2.0,1.9
519,2013-04-16,down,1.5,1.6
520,2013-05-16,down,1.1,1.3
521,2013-06-18,neutral,1.4,1.4
522,2013-07-16,up,1.8,1.7
523,2013-08-15,neutral,2.0,2.0
524,2013-09-17,down,1.5,1.6
525,2013-10-30,neutral,1.2,1.2
526,2013-11-20,neutral,1.0,1.0
527,2013-12-17,down,1.2,1.3
528,2014-01-16,neutral,1.5,1.5
529,2014-02-20,neutral,1.6,1.6
530,2014-03-18,down,1.1,1.2
531,2014-04-15,up,1.5,1.4
532,2014-05-15,neutral,2.0,2.0
533,2014-06-17,up,2.1,2.0
534,2014-07-22,neutral,2.1,2.1
535,2014-08-19,neutral,2.0,2.0
536,2014-09-17,down,1.7,1.9
537,2014-10-22,up,1.7,1.6
538,2014-11-20,up,1.7,1.6
539,2014-12-17,down,1.3,1.4
540,2015-01-16,up,0.8,0.7
541,2015-02-26,neutral,-0.1,-0.1
542,2015-03-24,up,0.0,-0.1
543,2015-04-17,down,-0.1,0.1
544,2015-05-22,down,-0.2,-0.1
545,2015-06-18,neutral,0.0,0.0
546,2015-07-17,neutral,0.1,0.1
547,2015-08-19,neutral,0.2,0.2
548,2015-09-16,neutral,0.2,0.2
549,2015-10-15,up,0.0,-0.1
550,2015-11-17,up,0.2,0.1
551,2015-12-15,up,0.5,0.4
552,2016-01-20,down,0.7,0.8
553,2016-02-19,up,1.4,1.3
554,2016-03-16,up,1.0,0.9
555,2016-04-14,down,0.9,1.1
556,2016-05-17,neutral,1.1,1.1
557,2016-06-16,down,1.0,1.1
558,2016-07-15,down,1.0,1.1
559,2016-08-16,down,0.8,0.9
560,2016-09-16,up,1.1,1.0
561,2016-10-18,neutral,1.5,1.5
562,2016-11-17,neutral,1.6,1.6
563,2016-12-15,neutral,1.7,1.7
564,2017-01-18,neutral,2.1,2.1
565,2017-02-15,up,2.5,2.4
566,2017-03-15,neutral,2.7,2.7
567,2017-04-14,down,2.4,2.6
568,2017-05-12,down,2.2,2.3
569,2017-06-14,down,1.9,2.0
570,2017-07-14,down,1.6,1.7
571,2017-08-11,down,1.7,1.8
572,2017-09-14,up,1.9,1.8
573,2017-10-13,down,2.2,2.3
574,2017-11-15,neutral,2.0,2.0
575,2017-12-13,neutral,2.2,2.2
576,2018-01-12,neutral,2.1,2.1
577,2018-02-14,up,2.1,1.9
578,2018-03-13,neutral,2.2,2.2
579,2018-04-11,neutral,2.4,2.4
580,2018-05-10,neutral,2.5,2.5
581,2018-06-12,up,2.8,2.7
582,2018-07-12,neutral,2.9,2.9
583,2018-08-10,down,2.9,3.0
584,2018-09-13,down,2.7,2.8
585,2018-10-11,down,2.3,2.4
586,2018-11-14,neutral,2.5,2.5
587,2018-12-12,neutral,2.2,2.2
588,2019-01-11,neutral,1.9,1.9
589,2019-02-13,up,1.6,1.5
590,2019-03-12,down,1.5,1.6
591,2019-04-10,up,1.9,1.8
592,2019-05-10,down,2.0,2.1
593,2019-06-12,down,1.8,1.9
594,2019-07-11,neutral,1.6,1.6
595,2019-08-13,up,1.8,1.7
596,2019-09-12,down,1.7,1.8
597,2019-10-10,down,1.7,1.8
598,2019-11-13,up,1.8,1.7
599,2019-12-11,up,2.1,2.0
600,2020-01-14,neutral,2.3,2.3
601,2020-02-13,up,2.5,2.4
602,2020-03-11,up,2.3,2.2
603,2020-04-10,down,1.5,1.6
604,2020-05-12,down,0.3,0.4
605,2020-06-10,down,0.1,0.2
606,2020-07-14,neutral,0.6,0.6
607,2020-08-12,up,1.0,0.8
608,2020-09-11,up,1.3,1.2
609,2020-10-13,neutral,1.4,1.4
610,2020-11-12,down,1.2,1.3
611,2020-12-10,up,1.2,1.1
612,2021-01-13,neutral,1.3,1.3
613,2021-02-10,down,1.4,1.5
614,2021-03-10,neutral,1.7,1.7
615,2021-04-13,up,2.6,2.5
616,2021-05-12,up,4.2,3.6
617,2021-06-10,up,5.0,4.7
618,2021-07-13,up,5.4,4.9
619,2021-08-11,up,5.4,5.3
620,2021-09-14,neutral,5.3,5.3
621,2021-10-13,up,5.4,5.3
622,2021-11-10,up,6.2,5.8
623,2021-12-10,neutral,6.8,6.8
624,2022-01-12,neutral,7.0,7.0
625,2022-02-10,up,7.5,7.3
626,2022-03-10,neutral,7.9,7.9
627,2022-04-12,up,8.5,8.4
628,2022-05-11,up,8.3,8.1
629,2022-06-10,up,8.6,8.3
630,2022-07-13,up,9.1,8.8
631,2022-08-10,down,8.5,8.7
632,2022-09-13,up,8.2,8.1
633,2022-10-13,up,8.2,8.1
634,2022-11-10,down,7.8,8.0
635,2022-12-13,down,7.1,7.3
636,2023-01-12,neutral,6.5,6.5
637,2023-02-14,up,6.4,6.2
638,2023-03-14,neutral,6.0,6.0
639,2023-04-12,down,5.0,5.2
640,2023-05-10,down,4.9,5.0
641,2023-06-13,down,4.0,4.1
642,2023-07-12,down,3.0,3.1
643,2023-08-10,down,3.2,3.3
644,2023-09-13,up,3.7,3.6
645,2023-10-12,up,3.7,3.6
646,2023-11-14,down,3.2,3.3
647,2023-12-12,neutral,3.1,3.1
648,2024-01-11,up,3.4,3.2
649,2024-02-13,up,3.1,2.9
650,2024-03-12,up,3.2,3.1
651,2024-04-10,up,3.5,3.4
652,2024-05-15,neutral,3.4,3.4
653,2024-06-12,down,3.3,3.4
654,2024-07-11,down,3.0,3.1
655,2024-08-14,down,2.9,3.0
656,2024-09-11,neutral,2.5,2.5
657,2024-10-10,up,2.4,2.3
658,2024-11-13,neutral,2.6,2.6
659,2024-12-11,neutral,2.7,2.7
660,2025-01-15,neutral,2.9,2.9
661,2025-02-12,up,3.0,2.9
662,2025-03-12,down,2.8,2.9
663,2025-04-10,down,2.4,2.5
664,2025-05-13,down,2.3,2.4
665,2025-06-11,down,2.4,2.5
666,2025-07-15,up,2.7,2.6
