,datetime,actual_state,actual,forecast
457,2008-02-20,up,0.3,0.2
458,2008-03-14,down,0.0,0.2
459,2008-04-16,neutral,0.2,0.2
460,2008-05-14,down,0.1,0.2
461,2008-06-13,neutral,0.2,0.2
462,2008-07-16,up,0.3,0.2
463,2008-08-14,up,0.3,0.2
464,2008-09-16,neutral,0.2,0.2
465,2008-10-16,down,0.1,0.2
466,2008-11-19,down,-0.1,0.1
467,2008-12-16,down,0.0,0.1
468,2009-01-16,down,0.0,0.1
469,2009-02-20,up,0.2,0.1
470,2009-03-18,up,0.2,0.1
471,2009-04-15,up,0.2,0.1
472,2009-05-15,up,0.3,0.1
473,2009-06-17,neutral,0.1,0.1
474,2009-07-15,neutral,0.2,0.2
475,2009-08-14,neutral,0.1,0.1
476,2009-09-16,neutral,0.1,0.1
477,2009-10-15,up,0.2,0.1
478,2009-11-18,up,0.2,0.1
479,2009-12-16,down,0.0,0.1
480,2010-01-15,neutral,0.1,0.1
481,2010-02-19,down,-0.1,0.2
482,2010-03-18,neutral,0.1,0.1
483,2010-04-14,down,0.0,0.1
484,2010-05-19,down,0.0,0.1
485,2010-06-17,neutral,0.1,0.1
486,2010-07-16,up,0.2,0.1
487,2010-08-13,neutral,0.1,0.1
488,2010-09-17,down,0.0,0.1
489,2010-10-15,down,0.0,0.1
490,2010-11-17,down,0.0,0.1
491,2010-12-15,neutral,0.1,0.1
492,2011-01-14,neutral,0.1,0.1
493,2011-02-17,up,0.2,0.1
494,2011-03-17,up,0.2,0.1
495,2011-04-15,down,0.1,0.2
496,2011-05-13,neutral,0.2,0.2
497,2011-06-15,up,0.3,0.2
498,2011-07-15,up,0.3,0.2
499,2011-08-18,neutral,0.2,0.2
500,2011-09-15,neutral,0.2,0.2
501,2011-10-19,down,0.1,0.2
502,2011-11-16,neutral,0.1,0.1
503,2011-12-16,neutral,0.2,0.2
504,2012-01-19,neutral,0.1,0.1
505,2012-02-17,down,0.2,0.3
506,2012-03-16,down,0.1,0.2
507,2012-04-13,neutral,0.2,0.2
508,2012-05-15,neutral,0.2,0.2
509,2012-06-14,neutral,0.2,0.2
510,2012-07-17,neutral,0.2,0.2
511,2012-08-15,down,0.1,0.2
512,2012-09-14,down,0.1,0.2
513,2012-10-16,down,0.1,0.2
514,2012-11-15,up,0.2,0.1
515,2012-12-14,down,0.1,0.2
516,2013-01-16,down,0.1,0.2
517,2013-02-21,up,0.3,0.2
518,2013-03-15,neutral,0.2,0.2
519,2013-04-16,down,0.1,0.2
520,2013-05-16,down,0.1,0.2
521,2013-06-18,neutral,0.2,0.2
522,2013-07-16,neutral,0.2,0.2
523,2013-08-15,neutral,0.2,0.2
524,2013-09-17,neutral,0.1,0.1
525,2013-10-30,down,0.1,0.2
526,2013-11-20,neutral,0.1,0.1
527,2013-12-17,up,0.2,0.1
528,2014-01-16,neutral,0.1,0.1
529,2014-02-20,neutral,0.1,0.1
530,2014-03-18,neutral,0.1,0.1
531,2014-04-15,up,0.2,0.1
532,2014-05-15,up,0.2,0.1
533,2014-06-17,up,0.3,0.2
534,2014-07-22,down,0.1,0.2
535,2014-08-19,down,0.1,0.2
536,2014-09-17,down,0.0,0.2
537,2014-10-22,down,0.1,0.2
538,2014-11-20,neutral,0.2,0.2
539,2014-12-17,neutral,0.1,0.1
540,2015-01-16,down,0.0,0.1
541,2015-02-26,up,0.2,0.1
542,2015-03-24,up,0.2,0.1
543,2015-04-17,neutral,0.2,0.2
544,2015-05-22,up,0.3,0.2
545,2015-06-18,down,0.1,0.2
546,2015-07-17,neutral,0.2,0.2
547,2015-08-19,down,0.1,0.2
548,2015-09-16,neutral,0.1,0.1
549,2015-10-15,up,0.2,0.1
550,2015-11-17,neutral,0.2,0.2
551,2015-12-15,neutral,0.2,0.2
552,2016-01-20,neutral,0.2,0.2
553,2016-02-19,up,0.3,0.2
554,2016-03-16,up,0.3,0.2
555,2016-04-14,down,0.1,0.2
556,2016-05-17,neutral,0.2,0.2
557,2016-06-16,neutral,0.2,0.2
558,2016-07-15,neutral,0.2,0.2
559,2016-08-16,down,0.1,0.2
560,2016-09-16,up,0.3,0.2
561,2016-10-18,down,0.1,0.2
562,2016-11-17,down,0.1,0.2
563,2016-12-15,neutral,0.2,0.2
564,2017-01-18,neutral,0.2,0.2
565,2017-02-15,up,0.3,0.2
566,2017-03-15,neutral,0.2,0.2
567,2017-04-14,down,-0.1,0.2
568,2017-05-12,down,0.1,0.2
569,2017-06-14,down,0.1,0.2
570,2017-07-14,down,0.1,0.2
571,2017-08-11,down,0.1,0.2
572,2017-09-14,neutral,0.2,0.2
573,2017-10-13,down,0.1,0.2
574,2017-11-15,neutral,0.2,0.2
575,2017-12-13,down,0.1,0.2
576,2018-01-12,neutral,0.2,0.2
577,2018-02-14,up,0.3,0.2
578,2018-03-13,neutral,0.2,0.2
579,2018-04-11,neutral,0.2,0.2
580,2018-05-10,down,0.1,0.2
581,2018-06-12,up,0.2,0.1
582,2018-07-12,neutral,0.2,0.2
583,2018-08-10,neutral,0.2,0.2
584,2018-09-13,down,0.1,0.2
585,2018-10-11,down,0.1,0.2
586,2018-11-14,neutral,0.2,0.2
587,2018-12-12,neutral,0.2,0.2
588,2019-01-11,neutral,0.2,0.2
589,2019-02-13,neutral,0.2,0.2
590,2019-03-12,down,0.1,0.2
591,2019-04-10,down,0.1,0.2
592,2019-05-10,down,0.1,0.2
593,2019-06-12,down,0.1,0.2
594,2019-07-11,up,0.3,0.2
595,2019-08-13,up,0.3,0.2
596,2019-09-12,up,0.3,0.2
597,2019-10-10,down,0.1,0.2
598,2019-11-13,neutral,0.2,0.2
599,2019-12-11,neutral,0.2,0.2
600,2020-01-14,down,0.1,0.2
601,2020-02-13,neutral,0.2,0.2
602,2020-03-11,neutral,0.2,0.2
603,2020-04-10,down,-0.1,0.1
604,2020-05-12,down,-0.4,-0.2
605,2020-06-10,neutral,-0.1,-0.1
606,2020-07-14,up,0.2,0.1
607,2020-08-12,up,0.6,0.2
608,2020-09-11,up,0.4,0.2
609,2020-10-13,neutral,0.2,0.2
610,2020-11-12,neutral,0.2,0.2
611,2020-12-10,up,0.2,0.1
612,2021-01-13,neutral,0.1,0.1
613,2021-02-10,down,0.1,0.2
614,2021-03-10,down,0.1,0.2
615,2021-04-13,up,0.3,0.2
616,2021-05-12,up,0.9,0.3
617,2021-06-10,up,0.7,0.4
618,2021-07-13,up,0.9,0.4
619,2021-08-11,down,0.3,0.4
620,2021-09-14,down,0.1,0.3
621,2021-10-13,neutral,0.2,0.2
622,2021-11-10,up,0.6,0.4
623,2021-12-10,neutral,0.5,0.5
624,2022-01-12,up,0.6,0.5
625,2022-02-10,up,0.6,0.5
626,2022-03-10,neutral,0.5,0.5
627,2022-04-12,down,0.3,0.5
628,2022-05-11,up,0.6,0.4
629,2022-06-10,up,0.6,0.5
630,2022-07-13,up,0.7,0.6
631,2022-08-10,down,0.3,0.5
632,2022-09-13,up,0.6,0.3
633,2022-10-13,up,0.6,0.5
634,2022-11-10,down,0.3,0.5
635,2022-12-13,neutral,0.3,0.3
636,2023-01-12,up,0.4,0.3
637,2023-02-14,neutral,0.4,0.4
638,2023-03-14,up,0.5,0.4
639,2023-04-12,neutral,0.4,0.4
640,2023-05-10,neutral,0.4,0.4
641,2023-06-13,neutral,0.4,0.4
642,2023-07-12,down,0.2,0.3
643,2023-08-10,neutral,0.2,0.2
644,2023-09-13,up,0.3,0.2
645,2023-10-12,neutral,0.3,0.3
646,2023-11-14,down,0.2,0.3
647,2023-12-12,neutral,0.3,0.3
648,2024-01-11,neutral,0.3,0.3
649,2024-02-13,up,0.4,0.3
650,2024-03-12,up,0.4,0.3
651,2024-04-10,up,0.4,0.3
652,2024-05-15,neutral,0.3,0.3
653,2024-06-12,down,0.2,0.3
654,2024-07-11,down,0.1,0.2
655,2024-08-14,neutral,0.2,0.2
656,2024-09-11,up,0.3,0.2
657,2024-10-10,up,0.3,0.2
658,2024-11-13,neutral,0.3,0.3
659,2024-12-11,neutral,0.3,0.3
660,2025-01-15,down,0.2,0.3
661,2025-02-12,up,0.4,0.3
662,2025-03-12,down,0.2,0.3
663,2025-04-10,down,0.1,0.3
664,2025-05-13,down,0.2,0.3
665,2025-06-11,down,0.1,0.3
666,2025-07-15,down,0.2,0.3
