,datetime,actual_state,actual,forecast
508,2012-05-15,neutral,2.3,2.3
509,2012-06-14,up,2.3,2.2
510,2012-07-17,neutral,2.2,2.2
511,2012-08-15,down,2.1,2.2
512,2012-09-14,down,1.9,2.0
513,2012-10-16,neutral,2.0,2.0
514,2012-11-15,neutral,2.0,2.0
515,2012-12-14,down,1.9,2.0
516,2013-01-16,neutral,1.9,1.9
517,2013-02-21,up,1.9,1.8
518,2013-03-15,neutral,2.0,2.0
519,2013-04-16,down,1.9,2.0
520,2013-05-16,down,1.7,1.8
521,2013-06-18,neutral,1.7,1.7
522,2013-07-16,neutral,1.6,1.6
523,2013-08-15,neutral,1.7,1.7
524,2013-09-17,neutral,1.8,1.8
525,2013-10-30,down,1.7,1.8
526,2013-11-20,neutral,1.7,1.7
527,2013-12-17,neutral,1.7,1.7
528,2014-01-16,neutral,1.7,1.7
529,2014-02-20,neutral,1.6,1.6
530,2014-03-18,neutral,1.6,1.6
531,2014-04-15,up,1.7,1.6
532,2014-05-15,up,1.8,1.7
533,2014-06-17,up,2.0,1.9
534,2014-07-22,down,1.9,2.0
535,2014-08-19,neutral,1.9,1.9
536,2014-09-17,down,1.7,1.9
537,2014-10-22,neutral,1.7,1.7
538,2014-11-20,neutral,1.8,1.8
539,2014-12-17,down,1.7,1.8
540,2015-01-16,down,1.6,1.7
541,2015-02-26,neutral,1.6,1.6
542,2015-03-24,up,1.7,1.6
543,2015-04-17,up,1.8,1.7
544,2015-05-22,up,1.8,1.7
545,2015-06-18,down,1.7,1.8
546,2015-07-17,neutral,1.8,1.8
547,2015-08-19,neutral,1.8,1.8
548,2015-09-16,down,1.8,1.9
549,2015-10-15,up,1.9,1.8
550,2015-11-17,neutral,1.9,1.9
551,2015-12-15,neutral,2.0,2.0
552,2016-01-20,neutral,2.1,2.1
553,2016-02-19,up,2.2,2.1
554,2016-03-16,up,2.3,2.2
555,2016-04-14,down,2.2,2.3
556,2016-05-17,neutral,2.1,2.1
557,2016-06-16,neutral,2.2,2.2
558,2016-07-15,neutral,2.3,2.3
559,2016-08-16,down,2.2,2.3
560,2016-09-16,up,2.3,2.2
561,2016-10-18,down,2.2,2.3
562,2016-11-17,down,2.1,2.2
563,2016-12-15,down,2.1,2.2
564,2017-01-18,neutral,2.2,2.2
565,2017-02-15,up,2.3,2.1
566,2017-03-15,neutral,2.2,2.2
567,2017-04-14,down,2.0,2.3
568,2017-05-12,down,1.9,2.0
569,2017-06-14,down,1.7,1.9
570,2017-07-14,neutral,1.7,1.7
571,2017-08-11,neutral,1.7,1.7
572,2017-09-14,up,1.7,1.6
573,2017-10-13,down,1.7,1.8
574,2017-11-15,up,1.8,1.7
575,2017-12-13,down,1.7,1.8
576,2018-01-12,up,1.8,1.7
577,2018-02-14,up,1.8,1.7
578,2018-03-13,neutral,1.8,1.8
579,2018-04-11,neutral,2.1,2.1
580,2018-05-10,down,2.1,2.2
581,2018-06-12,neutral,2.2,2.2
582,2018-07-12,neutral,2.3,2.3
583,2018-08-10,up,2.4,2.3
584,2018-09-13,down,2.2,2.4
585,2018-10-11,down,2.2,2.3
