,datetime,actual_state,actual,forecast
457,2008-02-29,neutral,0.3,0.3
458,2008-03-28,neutral,0.1,0.1
459,2008-05-01,up,0.2,0.1
460,2008-05-30,neutral,0.1,0.1
461,2008-06-27,down,0.1,0.2
462,2008-08-04,up,0.3,0.2
463,2008-08-29,neutral,0.3,0.3
464,2008-09-29,neutral,0.2,0.2
465,2008-10-31,up,0.2,0.1
466,2008-11-26,down,0.0,0.1
467,2008-12-24,neutral,0.0,0.0
468,2009-02-02,neutral,0.0,0.0
469,2009-03-02,neutral,0.1,0.1
470,2009-03-27,up,0.2,0.1
471,2009-04-30,neutral,0.2,0.2
472,2009-06-01,up,0.3,0.2
473,2009-06-26,neutral,0.1,0.1
474,2009-08-04,neutral,0.2,0.2
475,2009-08-28,down,0.1,0.2
476,2009-10-01,neutral,0.1,0.1
477,2009-10-30,down,0.1,0.2
478,2009-11-25,up,0.2,0.1
479,2009-12-23,down,0.0,0.1
480,2010-02-01,neutral,0.1,0.1
481,2010-03-01,down,0.0,0.1
482,2010-03-29,down,0.0,0.1
483,2010-05-03,neutral,0.1,0.0
484,2010-05-28,neutral,0.1,0.1
485,2010-06-28,neutral,0.1,0.1
486,2010-08-03,down,0.0,0.1
487,2010-08-30,neutral,0.1,0.1
488,2010-10-01,neutral,0.1,0.1
489,2010-11-01,down,0.0,0.1
490,2010-11-24,down,0.0,0.1
491,2010-12-23,neutral,0.1,0.1
492,2011-01-31,down,0.0,0.1
493,2011-02-28,up,0.2,0.1
494,2011-03-28,neutral,0.2,0.2
495,2011-04-29,neutral,0.1,0.1
496,2011-05-27,neutral,0.2,0.2
497,2011-06-27,neutral,0.2,0.2
498,2011-08-02,neutral,0.2,0.2
499,2011-08-29,neutral,0.2,0.2
500,2011-09-30,neutral,0.2,0.2
501,2011-10-28,down,0.0,0.2
502,2011-11-23,down,0.1,0.2
503,2011-12-23,neutral,0.1,0.1
504,2012-01-30,neutral,0.1,0.1
505,2012-03-01,neutral,0.2,0.2
506,2012-03-30,neutral,0.1,0.1
507,2012-04-30,neutral,0.2,0.2
508,2012-06-01,down,0.1,0.2
509,2012-06-29,down,0.1,0.2
510,2012-07-31,neutral,0.2,0.2
511,2012-08-30,neutral,0.1,0.1
512,2012-09-28,neutral,0.1,0.1
513,2012-10-29,neutral,0.1,0.1
514,2012-11-30,down,0.1,0.2
515,2012-12-21,down,0.0,0.1
516,2013-01-31,down,0.0,0.1
517,2013-03-01,neutral,0.2,0.2
518,2013-03-29,neutral,0.1,0.1
519,2013-04-29,neutral,0.1,0.1
520,2013-05-31,down,0.0,0.1
521,2013-06-27,neutral,0.1,0.1
522,2013-08-02,up,0.2,0.1
523,2013-08-30,down,0.1,0.2
524,2013-09-27,neutral,0.1,0.1
525,2013-11-08,neutral,0.1,0.1
526,2013-12-06,neutral,0.1,0.1
527,2013-12-23,neutral,0.1,0.1
528,2014-01-31,neutral,0.1,0.1
529,2014-03-03,neutral,0.1,0.1
530,2014-03-28,neutral,0.1,0.1
531,2014-05-01,neutral,0.2,0.2
532,2014-05-30,neutral,0.2,0.2
533,2014-06-26,neutral,0.2,0.2
534,2014-08-01,neutral,0.1,0.1
535,2014-08-29,neutral,0.1,0.1
536,2014-09-29,neutral,0.1,0.1
537,2014-10-31,neutral,0.1,0.1
538,2014-11-26,up,0.2,0.1
539,2014-12-23,down,0.0,0.1
