,datetime,actual_state,actual,forecast
538,2014-11-26,neutral,1.5,1.5
540,2015-02-02,neutral,1.3,1.3
541,2015-03-02,up,1.3,1.2
542,2015-03-30,neutral,1.3,1.3
543,2015-04-30,down,1.3,1.4
544,2015-06-01,neutral,1.3,1.3
545,2015-06-25,up,1.3,1.2
546,2015-08-03,up,1.3,1.2
547,2015-08-28,down,1.2,1.3
548,2015-09-28,up,1.3,1.2
550,2015-11-25,neutral,1.3,1.3
551,2015-12-23,neutral,1.4,1.4
552,2016-02-01,up,1.5,1.4
553,2016-02-26,up,1.7,1.5
554,2016-03-28,down,1.7,1.8
556,2016-05-31,neutral,1.6,1.6
557,2016-06-29,neutral,1.6,1.6
558,2016-08-02,neutral,1.6,1.6
559,2016-08-29,up,1.6,1.5
560,2016-09-30,neutral,1.7,1.7
561,2016-10-31,neutral,1.7,1.7
564,2017-01-30,neutral,1.7,1.7
565,2017-03-01,neutral,1.8,1.8
566,2017-03-31,up,1.8,1.7
568,2017-05-30,neutral,1.5,1.5
569,2017-06-30,up,1.5,1.4
570,2017-08-01,up,1.5,1.3
571,2017-08-31,neutral,1.4,1.4
572,2017-09-29,down,1.3,1.4
573,2017-10-30,up,1.4,1.3
574,2017-11-30,neutral,1.4,1.4
575,2017-12-22,neutral,1.5,1.5
576,2018-01-29,neutral,1.5,1.5
577,2018-03-01,neutral,1.5,1.5
578,2018-03-29,neutral,1.6,1.6
579,2018-04-30,down,1.8,1.9
580,2018-05-31,neutral,1.8,1.8
581,2018-06-29,neutral,1.9,1.9
582,2018-07-31,down,1.9,2.0
583,2018-08-30,neutral,2.0,2.0
584,2018-09-28,neutral,2.0,2.0
585,2018-10-29,down,1.9,2.0
586,2018-11-29,down,1.8,1.9
587,2018-12-21,neutral,1.9,1.9
588,2019-03-01,up,2.0,1.9
589,2019-03-29,down,1.8,1.9
590,2019-04-29,neutral,1.7,1.7
591,2019-04-29,down,1.5,1.7
592,2019-05-31,neutral,1.6,1.6
593,2019-06-28,down,1.5,1.6
594,2019-07-30,down,1.6,1.7
595,2019-08-30,up,1.7,1.6
596,2019-09-27,neutral,1.8,1.8
597,2019-10-31,neutral,1.7,1.7
598,2019-11-27,neutral,1.7,1.7
599,2019-12-20,down,1.5,1.6
600,2020-01-31,down,1.5,1.6
601,2020-02-28,neutral,1.7,1.7
602,2020-03-27,up,1.8,1.7
603,2020-04-30,up,1.7,1.6
604,2020-05-29,down,1.0,1.1
605,2020-06-26,up,1.0,0.9
606,2020-07-31,up,1.1,1.0
607,2020-08-28,up,1.4,1.2
608,2020-10-01,neutral,1.4,1.4
609,2020-10-30,down,1.6,1.7
610,2020-11-25,neutral,1.4,1.4
611,2020-12-23,down,1.4,1.5
612,2021-01-29,up,1.4,1.3
613,2021-02-26,up,1.5,1.4
614,2021-03-26,down,1.4,1.5
615,2021-04-30,up,1.9,1.8
616,2021-05-28,up,3.1,2.9
617,2021-06-25,neutral,3.4,3.4
618,2021-07-30,down,3.6,3.7
619,2021-08-27,neutral,3.6,3.6
620,2021-10-01,neutral,3.6,3.6
621,2021-10-29,neutral,3.7,3.7
622,2021-11-24,up,4.2,4.1
623,2021-12-23,up,4.7,4.5
624,2022-01-28,up,4.9,4.8
625,2022-02-25,up,5.2,5.1
626,2022-03-31,down,5.3,5.5
627,2022-04-29,down,5.2,5.3
628,2022-05-27,neutral,4.9,4.9
629,2022-06-30,down,4.7,4.8
630,2022-07-29,up,4.8,4.7
631,2022-08-26,neutral,4.7,4.7
632,2022-09-30,up,4.9,4.7
633,2022-10-28,neutral,5.2,5.2
634,2022-12-01,neutral,5.0,5.0
635,2022-12-23,neutral,4.7,4.7
636,2023-01-27,up,4.6,4.4
637,2023-02-24,up,4.7,4.3
638,2023-03-31,neutral,4.7,4.7
639,2023-04-28,up,4.6,4.5
640,2023-05-26,up,4.7,4.6
641,2023-06-30,down,4.6,4.7
642,2023-07-28,down,4.1,4.2
643,2023-08-31,up,4.3,4.2
644,2023-09-29,down,3.8,3.9
645,2023-10-27,neutral,3.7,3.7
646,2023-11-30,down,3.4,3.5
647,2023-12-22,down,3.2,3.3
648,2024-01-26,down,2.9,3.0
649,2024-02-29,up,2.9,2.8
650,2024-03-29,neutral,2.8,2.8
651,2024-04-26,up,2.8,2.6
652,2024-05-31,neutral,2.8,2.8
653,2024-06-28,neutral,2.6,2.6
654,2024-07-26,up,2.6,2.5
655,2024-08-30,down,2.6,2.7
656,2024-09-27,neutral,2.7,2.7
657,2024-10-31,up,2.7,2.6
658,2024-11-27,neutral,2.8,2.8
659,2024-12-20,down,2.8,2.9
660,2025-01-31,up,2.9,2.8
661,2025-02-28,up,2.7,2.6
662,2025-03-28,up,3.0,2.7
663,2025-04-30,up,2.7,2.6
664,2025-05-30,up,2.6,2.5
665,2025-06-27,up,2.7,2.6
