,datetime,actual_state,actual,forecast
191,2008-02-13,up,0.3,0.2
192,2008-03-13,down,-0.2,0.2
193,2008-04-14,neutral,0.1,0.1
194,2008-05-13,up,0.5,0.2
195,2008-06-12,up,1.2,0.7
196,2008-07-15,down,0.8,0.9
197,2008-08-13,down,0.4,0.5
198,2008-09-12,down,-0.7,-0.2
199,2008-10-15,down,-0.6,-0.3
200,2008-11-14,down,-2.2,-1.1
201,2008-12-12,up,-1.6,-1.7
202,2009-01-14,down,-3.1,-1.3
203,2009-02-12,up,1.6,-0.5
204,2009-03-12,up,0.7,-0.1
205,2009-04-14,down,-1.2,0.1
206,2009-05-13,neutral,-0.2,0.0
207,2009-06-11,up,0.4,0.2
208,2009-07-14,neutral,0.5,0.5
209,2009-08-13,down,-0.5,0.2
210,2009-09-15,up,1.0,0.4
211,2009-10-14,up,0.4,0.2
212,2009-11-16,down,0.0,0.4
213,2009-12-11,up,1.9,0.6
214,2010-01-14,down,-0.2,0.3
215,2010-02-12,up,0.5,0.4
216,2010-03-12,up,1.0,0.1
217,2010-04-14,up,1.2,0.5
218,2010-05-14,up,0.6,0.5
219,2010-06-11,down,-1.2,0.1
220,2010-07-14,neutral,-0.1,-0.1
221,2010-08-13,down,0.1,0.2
222,2010-09-14,up,1.0,0.3
223,2010-10-15,up,0.5,0.4
224,2010-11-15,up,0.8,0.4
225,2010-12-14,up,1.0,0.6
226,2011-01-14,down,0.3,0.6
227,2011-02-15,neutral,0.6,0.6
228,2011-03-11,up,1.1,0.6
229,2011-04-13,up,1.2,0.8
230,2011-05-12,down,0.5,0.6
231,2011-06-14,neutral,0.2,0.2
232,2011-07-14,up,0.2,0.1
233,2011-08-12,up,0.3,0.2
234,2011-09-14,up,0.5,0.2
235,2011-10-14,up,0.5,0.2
236,2011-11-15,up,0.6,0.2
237,2011-12-13,down,0.3,0.5
238,2012-01-12,down,-0.5,0.3
239,2012-02-14,up,1.1,0.6
240,2012-03-13,up,0.9,0.8
241,2012-04-16,up,0.8,0.6
242,2012-05-15,down,-0.3,0.2
243,2012-06-13,neutral,-0.4,0.0
244,2012-07-16,down,-0.8,0.1
245,2012-08-14,up,0.8,0.4
246,2012-09-14,up,1.0,0.6
247,2012-10-15,up,1.2,0.6
248,2012-11-14,down,0.0,0.2
249,2012-12-13,neutral,-0.1,-0.1
250,2013-01-15,up,0.3,0.2
251,2013-02-13,up,0.4,0.1
252,2013-03-13,up,1.0,0.2
253,2013-04-12,down,-0.4,0.1
254,2013-05-13,down,-0.2,-0.1
255,2013-06-13,neutral,0.3,0.3
256,2013-07-15,down,0.1,0.4
257,2013-08-13,up,0.6,0.4
258,2013-09-13,down,0.1,0.3
259,2013-10-29,down,0.3,0.4
260,2013-11-20,up,0.5,0.1
261,2013-12-12,down,0.1,0.2
262,2014-01-14,down,0.3,0.4
263,2014-02-13,down,-0.3,0.1
264,2014-03-13,up,0.3,0.2
265,2014-04-14,up,1.0,0.5
266,2014-05-13,down,0.4,0.6
267,2014-06-12,neutral,0.4,0.4
268,2014-07-15,down,0.4,0.5
269,2014-08-13,down,0.3,0.4
270,2014-09-12,neutral,0.3,0.3
271,2014-10-15,down,-0.2,0.3
272,2014-11-14,up,0.4,0.2
273,2014-12-11,neutral,0.1,0.1
274,2015-01-14,down,-0.9,0.1
275,2015-02-12,down,-1.1,-0.4
276,2015-03-12,down,-0.1,0.5
277,2015-04-14,up,0.7,0.6
278,2015-05-13,down,0.1,0.5
279,2015-06-11,up,0.8,0.7
280,2015-07-14,down,0.4,0.5
281,2015-08-13,up,0.6,0.4
282,2015-09-15,down,-0.1,0.2
283,2015-10-14,down,-0.4,-0.1
284,2015-11-13,down,0.1,0.4
285,2015-12-11,neutral,0.3,0.3
286,2016-01-15,down,0.1,0.2
287,2016-02-12,down,-0.4,0.1
288,2016-03-15,up,-0.1,-0.2
289,2016-04-13,neutral,0.4,0.4
290,2016-05-13,up,0.8,0.5
291,2016-06-14,neutral,0.4,0.4
292,2016-07-15,up,0.9,0.4
293,2016-08-12,down,-0.4,0.2
294,2016-09-15,down,-0.2,0.2
295,2016-10-14,up,0.7,0.4
296,2016-11-15,up,0.6,0.5
297,2016-12-14,down,0.3,0.4
298,2017-01-13,down,0.4,0.5
299,2017-02-15,up,1.2,0.4
