,datetime,actual_state,actual,forecast
0,2008-02-27,down,-5.3,-4.0
1,2008-03-26,down,-1.1,0.8
2,2008-04-24,neutral,-0.3,0.0
3,2008-05-28,up,-0.6,-1.5
4,2008-06-25,neutral,0.0,0.0
5,2008-07-25,up,0.8,-0.3
6,2008-08-27,up,1.3,0.1
7,2008-09-25,down,-4.8,-1.6
8,2008-10-29,up,0.9,-1.2
9,2008-11-26,down,-6.9,-2.8
10,2008-12-24,down,-3.7,-3.2
11,2009-01-29,down,-4.6,-1.9
12,2009-02-26,down,-7.3,-2.4
13,2009-03-25,up,2.1,-2.3
14,2009-04-24,down,-2.1,-1.4
15,2009-05-28,up,1.8,0.3
16,2009-06-24,up,1.3,-0.7
17,2009-07-29,down,-1.3,-0.6
18,2009-08-26,up,5.1,3.3
19,2009-09-25,down,-2.6,0.3
20,2009-10-28,up,2.0,1.0
21,2009-11-25,down,-0.6,0.5
22,2009-12-24,down,-0.4,0.5
23,2010-01-28,down,1.9,2.0
24,2010-02-25,up,3.9,1.5
25,2010-03-24,up,1.1,0.7
26,2010-04-23,down,0.0,0.2
27,2010-05-26,up,3.0,1.4
28,2010-06-24,up,-0.8,-1.8
29,2010-07-28,down,-0.1,0.9
30,2010-08-25,down,0.7,3.1
31,2010-09-24,up,-1.0,-1.3
32,2010-10-27,up,5.0,1.7
33,2010-11-24,down,-3.1,-0.3
34,2010-12-23,up,-0.1,-1.0
35,2011-01-27,down,-0.4,1.5
36,2011-02-24,up,3.6,3.0
37,2011-03-24,down,0.7,1.0
38,2011-04-27,up,4.4,1.9
39,2011-05-25,down,-2.7,-2.0
40,2011-06-24,up,1.9,1.6
41,2011-07-27,down,-1.3,0.4
42,2011-08-24,up,4.1,2.0
43,2011-09-28,up,-0.1,-1.0
44,2011-10-26,down,-1.5,-0.7
45,2011-11-23,up,0.0,-1.2
46,2011-12-23,up,4.3,2.2
47,2012-01-26,up,3.2,2.0
48,2012-02-28,down,-3.6,-0.8
49,2012-03-28,down,1.9,3.0
50,2012-04-25,down,-3.7,-1.7
51,2012-05-24,down,-0.2,0.5
52,2012-06-27,up,1.6,0.4
53,2012-07-26,up,1.6,0.4
54,2012-08-24,up,3.3,2.4
55,2012-09-27,down,-13.1,-5.0
56,2012-10-25,up,9.2,7.1
57,2012-11-27,up,1.1,-0.6
58,2012-12-21,up,0.7,0.2
59,2013-01-28,up,3.7,1.8
60,2013-02-27,up,-3.8,-4.4
61,2013-03-26,up,4.3,3.8
62,2013-04-24,down,-5.9,-2.8
63,2013-05-24,up,3.6,1.5
64,2013-06-25,up,5.2,3.0
65,2013-07-25,up,3.9,1.3
66,2013-08-26,down,-8.1,-4.0
67,2013-09-25,down,0.1,0.2
68,2013-10-25,up,4.1,2.0
69,2013-11-27,up,-0.7,-1.9
70,2013-12-24,up,2.6,2.0
71,2014-01-28,down,-5.3,1.8
72,2014-02-27,up,-1.3,-1.5
73,2014-03-26,up,2.1,1.0
74,2014-04-24,up,3.6,2.0
75,2014-05-27,up,0.6,-0.5
76,2014-06-25,down,-1.0,0.2
77,2014-07-25,up,2.7,0.5
78,2014-08-26,up,22.5,7.5
79,2014-09-25,down,-18.3,-18.0
80,2014-10-28,down,-0.9,0.5
81,2014-11-26,up,0.3,-0.4
82,2014-12-23,down,-2.1,3.0
83,2015-01-27,down,-3.7,0.5
84,2015-02-26,up,2.0,1.7
85,2015-03-25,down,-1.4,0.4
86,2015-04-24,up,5.1,0.6
87,2015-05-26,down,-1.5,-0.4
88,2015-06-23,down,-2.1,-0.6
89,2015-07-27,up,4.1,3.0
90,2015-08-26,up,1.9,-0.4
91,2015-09-24,down,-3.0,-2.0
92,2015-10-27,up,-0.8,-1.2
93,2015-11-25,up,2.9,1.5
94,2015-12-23,up,-0.5,-0.6
95,2016-01-28,down,-4.6,-0.6
96,2016-02-25,up,4.2,2.5
97,2016-03-24,down,-3.1,-2.9
98,2016-04-26,up,1.9,1.8
99,2016-05-26,up,3.3,0.5
100,2016-06-24,down,-2.8,-0.5
101,2016-07-27,down,-4.2,-1.1
102,2016-08-25,up,3.6,3.3
103,2016-09-28,up,0.3,-1.4
104,2016-10-27,up,0.4,0.1
105,2016-11-23,up,4.8,1.5
106,2016-12-22,down,-4.8,-4.7
107,2017-01-27,down,-0.8,2.6
108,2017-02-27,up,2.3,1.7
109,2017-03-24,up,2.3,1.2
110,2017-04-27,up,2.3,1.2
111,2017-05-26,up,-0.9,-1.2
112,2017-06-26,up,-0.1,-0.6
113,2017-07-27,up,6.4,3.0
114,2017-08-25,down,-6.8,-6.0
115,2017-09-27,up,2.0,1.0
116,2017-10-25,up,2.2,1.0
117,2017-11-22,down,-0.4,0.3
118,2017-12-22,down,1.7,2.0
119,2018-01-26,up,2.6,0.8
120,2018-02-27,down,-3.5,-2.4
121,2018-03-23,up,3.1,1.5
122,2018-04-04,up,3.5,3.1
123,2018-04-26,up,2.6,1.6
125,2018-05-25,down,-1.7,-1.4
126,2018-06-04,up,-1.0,-1.6
127,2018-06-27,up,-0.6,-0.9
128,2018-07-03,up,-0.3,-0.5
129,2018-07-26,down,0.7,3.0
130,2018-08-24,down,-1.7,-0.5
131,2018-09-06,up,-1.2,-1.7
132,2018-09-27,up,4.6,1.9
133,2018-10-25,up,-0.1,-1.3
134,2018-11-21,down,-4.3,-2.2
135,2018-12-21,down,1.0,1.6
136,2019-02-21,up,1.3,0.8
137,2019-03-13,up,0.1,-0.5
138,2019-04-02,neutral,-1.1,-1.1
139,2019-04-25,up,1.7,0.7
140,2019-05-24,down,-2.8,-2.0
141,2019-06-26,neutral,-2.3,0.0
142,2019-07-25,up,1.8,0.8
143,2019-08-26,up,2.1,1.1
145,2019-09-27,up,0.3,-1.1
146,2019-10-24,down,-1.4,-0.5
147,2019-11-27,up,0.2,-0.5
148,2019-12-23,down,-3.1,1.5
149,2020-01-28,up,2.9,0.4
150,2020-02-27,up,0.1,-1.5
151,2020-03-25,up,1.1,-0.8
152,2020-04-24,down,-16.6,-11.9
153,2020-05-28,up,-18.1,-19.0
154,2020-06-25,up,15.1,10.9
155,2020-07-27,up,7.7,7.2
156,2020-08-26,up,11.7,4.3
157,2020-09-25,down,0.4,1.5
158,2020-10-27,up,2.1,0.5
159,2020-11-25,up,1.8,0.9
160,2020-12-23,up,1.2,0.6
161,2021-01-27,up,1.2,0.9
162,2021-02-25,up,3.5,1.1
163,2021-03-24,down,-0.9,0.8
164,2021-04-26,down,1.3,2.5
165,2021-05-27,down,-0.8,0.7
166,2021-06-24,up,3.2,2.8
167,2021-07-27,down,0.8,2.1
168,2021-08-25,up,0.5,-0.3
169,2021-09-27,up,1.3,0.7
170,2021-10-27,up,-0.4,-1.1
171,2021-11-24,down,0.1,0.2
172,2021-12-23,up,3.2,1.6
173,2022-01-27,up,1.2,-0.5
174,2022-02-25,up,1.6,0.8
175,2022-03-24,down,-1.7,-0.5
176,2022-04-26,down,0.6,1.0
177,2022-05-25,down,0.4,0.6
178,2022-06-27,up,0.8,0.1
179,2022-07-27,up,2.0,-0.5
180,2022-08-24,down,-0.1,0.6
181,2022-09-27,up,0.2,-0.4
182,2022-10-27,down,0.3,0.6
183,2022-11-23,up,0.7,0.4
184,2022-12-23,down,-1.7,-0.6
185,2023-01-26,up,5.1,2.5
186,2023-02-27,down,-5.0,-4.0
187,2023-03-24,down,-1.2,0.6
188,2023-04-26,up,3.3,0.7
189,2023-05-26,up,1.2,-1.0
190,2023-06-27,up,2.0,-1.0
191,2023-07-27,up,4.4,1.0
192,2023-08-24,down,-5.6,-4.0
193,2023-09-27,up,-0.1,-0.5
194,2023-10-26,up,4.0,1.7
195,2023-11-22,down,-5.1,-3.1
196,2023-12-22,up,5.5,1.7
197,2024-01-25,down,-0.3,1.1
198,2024-02-27,down,-6.9,-4.9
199,2024-03-26,down,0.7,1.2
200,2024-04-24,down,0.8,2.5
201,2024-05-24,up,0.2,-0.9
202,2024-06-27,up,0.1,-0.5
203,2024-07-25,down,-6.9,0.3
204,2024-08-26,up,9.9,4.0
205,2024-09-26,up,-0.8,-2.8
206,2024-10-25,up,-0.4,-1.1
207,2024-11-27,up,0.8,-0.8
208,2024-12-23,down,-2.0,-0.3
209,2025-01-28,down,-1.8,0.3
210,2025-02-27,up,3.3,2.0
211,2025-03-26,up,0.9,-1.1
212,2025-04-24,up,7.6,2.1
213,2025-05-27,up,-6.6,-7.6
214,2025-06-26,up,16.4,8.6
