,datetime,actual_state,actual,forecast
457,2008-02-25,up,4.89,4.8
458,2008-03-24,up,5.03,4.85
459,2008-04-22,up,4.93,4.9
460,2008-05-23,up,4.89,4.86
461,2008-06-26,up,4.99,4.96
462,2008-07-24,down,4.86,4.93
464,2008-09-24,down,4.91,4.93
465,2008-10-24,up,5.18,4.95
466,2008-11-24,down,4.98,5.0
467,2008-12-23,down,4.49,4.9
468,2009-01-26,up,4.74,4.4
469,2009-02-25,down,4.49,4.78
470,2009-03-23,up,4.72,4.45
471,2009-04-23,down,4.55,4.66
472,2009-05-27,up,4.66,4.65
473,2009-06-23,down,4.72,4.81
474,2009-07-23,up,4.89,4.8
475,2009-08-21,up,5.24,5.03
476,2009-09-24,down,5.09,5.4
477,2009-10-23,up,5.54,5.4
478,2009-11-23,up,6.09,5.7
479,2009-12-22,up,6.54,6.25
480,2010-01-25,down,5.44,5.95
481,2010-02-26,down,5.05,5.5
482,2010-03-23,up,5.01,5.0
483,2010-04-22,up,5.36,5.3
484,2010-05-24,up,5.79,5.65
485,2010-06-22,down,5.66,6.1
486,2010-07-22,up,5.26,5.04
487,2010-08-24,down,3.84,4.75
488,2010-09-23,up,4.12,4.04
489,2010-10-25,up,4.53,4.25
490,2010-11-23,up,4.43,4.42
491,2010-12-22,down,4.7,4.75
492,2011-01-20,up,5.22,4.8
493,2011-02-23,up,5.4,5.23
494,2011-03-21,down,4.92,5.05
495,2011-04-20,up,5.09,5.0
496,2011-05-19,down,5.0,5.22
497,2011-06-21,up,4.81,4.78
498,2011-07-20,down,4.84,4.92
499,2011-08-18,down,4.67,4.9
500,2011-09-21,up,5.06,4.75
501,2011-10-20,neutral,4.9,4.9
502,2011-11-21,down,4.25,4.8
503,2011-12-21,down,4.39,5.03
504,2012-01-20,down,4.38,4.65
505,2012-02-22,down,4.63,4.67
506,2012-03-21,down,4.6,4.61
507,2012-04-19,down,4.47,4.62
508,2012-05-22,up,4.62,4.6
509,2012-06-21,up,4.62,4.57
510,2012-07-19,down,4.37,4.63
511,2012-08-22,down,4.47,4.52
512,2012-09-19,up,4.83,4.55
513,2012-10-19,down,4.69,4.75
514,2012-11-19,up,4.76,4.75
515,2012-12-20,up,4.99,4.87
516,2013-01-22,down,4.9,5.1
517,2013-02-21,up,4.94,4.9
518,2013-03-21,down,4.95,5.0
519,2013-04-22,down,4.94,5.01
520,2013-05-22,down,4.97,4.99
521,2013-06-20,up,5.14,5.0
522,2013-07-22,down,5.06,5.25
523,2013-08-21,up,5.39,5.15
524,2013-09-19,up,5.39,5.25
525,2013-10-21,down,5.29,5.3
526,2013-11-20,down,5.12,5.13
527,2013-12-19,down,4.82,5.03
528,2014-01-23,down,4.87,4.94
529,2014-02-21,down,4.62,4.68
530,2014-03-20,neutral,4.6,4.6
531,2014-04-22,up,4.59,4.55
532,2014-05-22,down,4.66,4.68
533,2014-06-23,up,4.91,4.73
534,2014-07-22,up,5.03,4.97
535,2014-08-21,up,5.14,5.02
536,2014-09-22,down,5.05,5.2
537,2014-10-21,up,5.18,5.1
538,2014-11-20,up,5.25,5.15
539,2014-12-22,down,4.92,5.19
540,2015-01-23,up,5.07,5.06
541,2015-02-23,down,4.82,4.97
542,2015-03-23,down,4.89,4.9
543,2015-04-22,up,5.21,5.03
544,2015-05-21,down,5.09,5.24
545,2015-06-22,up,5.32,5.26
546,2015-07-22,up,5.48,5.4
547,2015-08-20,up,5.58,5.44
548,2015-09-21,down,5.3,5.51
549,2015-10-22,up,5.55,5.38
550,2015-11-23,down,5.32,5.4
551,2015-12-22,down,4.76,5.35
552,2016-01-22,up,5.45,5.2
553,2016-02-23,up,5.47,5.32
554,2016-03-21,down,5.07,5.34
555,2016-04-20,up,5.36,5.3
556,2016-05-20,up,5.43,5.4
557,2016-06-22,down,5.51,5.54
558,2016-07-21,up,5.57,5.48
559,2016-08-24,down,5.38,5.51
560,2016-09-22,down,5.3,5.45
561,2016-10-20,up,5.49,5.35
562,2016-11-22,up,5.57,5.43
563,2016-12-21,up,5.65,5.5
564,2017-01-24,down,5.51,5.52
565,2017-02-22,up,5.69,5.54
566,2017-03-22,down,5.47,5.57
567,2017-04-21,up,5.7,5.6
568,2017-05-24,down,5.56,5.65
569,2017-06-21,up,5.62,5.55
570,2017-07-24,down,5.51,5.58
571,2017-08-24,down,5.44,5.57
572,2017-09-20,down,5.35,5.46
573,2017-10-20,up,5.37,5.3
574,2017-11-21,up,5.5,5.42
575,2017-12-20,up,5.78,5.54
576,2018-01-24,down,5.56,5.72
577,2018-02-21,down,5.38,5.61
578,2018-03-21,up,5.54,5.41
579,2018-04-23,up,5.6,5.55
580,2018-05-24,down,5.45,5.56
581,2018-06-20,down,5.41,5.52
582,2018-07-23,down,5.38,5.46
583,2018-08-22,down,5.34,5.44
584,2018-09-20,down,5.33,5.35
585,2018-10-19,down,5.15,5.3
586,2018-11-21,up,5.22,5.2
587,2018-12-19,up,5.33,5.2
588,2019-01-22,down,5.0,5.25
589,2019-02-21,down,4.93,5.01
590,2019-03-22,up,5.48,5.1
591,2019-04-22,down,5.21,5.3
592,2019-05-21,down,5.21,5.35
593,2019-06-21,up,5.36,5.29
594,2019-07-23,down,5.29,5.35
595,2019-08-21,up,5.42,5.39
596,2019-09-19,up,5.5,5.37
597,2019-10-22,down,5.36,5.45
598,2019-11-21,down,5.44,5.47
599,2019-12-19,down,5.35,5.44
600,2020-01-22,up,5.53,5.43
601,2020-02-21,down,5.42,5.43
602,2020-03-20,up,5.76,5.5
603,2020-04-21,down,5.27,5.3
604,2020-05-21,up,4.33,4.3
605,2020-06-22,down,3.91,4.12
606,2020-07-22,down,4.7,4.78
607,2020-08-21,up,5.86,5.38
608,2020-09-22,down,5.98,6.0
609,2020-10-22,up,6.57,6.3
