,datetime,actual_state,actual,forecast
149,2008-03-18,down,2.25,2.5
150,2008-04-30,neutral,2.0,2.0
151,2008-06-25,neutral,2.0,2.0
153,2008-09-16,neutral,2.0,2.0
155,2008-10-29,neutral,1.0,1.0
156,2008-12-16,down,0.25,0.5
157,2009-01-28,neutral,0.25,0.25
158,2009-03-18,neutral,0.25,0.25
159,2009-04-29,neutral,0.25,0.25
160,2009-06-24,neutral,0.25,0.25
161,2009-08-12,neutral,0.25,0.25
162,2009-09-23,neutral,0.25,0.25
163,2009-11-04,neutral,0.25,0.25
164,2009-12-16,neutral,0.25,0.25
165,2010-01-27,neutral,0.25,0.25
166,2010-03-16,neutral,0.25,0.25
167,2010-04-28,neutral,0.25,0.25
168,2010-06-23,neutral,0.25,0.25
169,2010-08-10,neutral,0.25,0.25
170,2010-09-21,neutral,0.25,0.25
171,2010-11-03,neutral,0.25,0.25
172,2010-12-14,neutral,0.25,0.25
173,2011-01-26,neutral,0.25,0.25
174,2011-03-15,neutral,0.25,0.25
175,2011-04-27,neutral,0.25,0.25
176,2011-06-22,neutral,0.25,0.25
177,2011-08-09,neutral,0.25,0.25
178,2011-09-21,neutral,0.25,0.25
179,2011-11-02,neutral,0.25,0.25
180,2011-12-13,neutral,0.25,0.25
181,2012-01-25,neutral,0.25,0.25
182,2012-03-13,neutral,0.25,0.25
183,2012-04-25,neutral,0.25,0.25
184,2012-06-20,neutral,0.25,0.25
185,2012-08-01,neutral,0.25,0.25
186,2012-09-13,neutral,0.25,0.25
187,2012-10-24,neutral,0.25,0.25
188,2012-12-12,neutral,0.25,0.25
189,2013-01-30,neutral,0.25,0.25
190,2013-03-20,neutral,0.25,0.25
191,2013-05-01,neutral,0.25,0.25
192,2013-06-19,neutral,0.25,0.25
193,2013-07-31,neutral,0.25,0.25
194,2013-09-18,neutral,0.25,0.25
195,2013-10-30,neutral,0.25,0.25
196,2013-12-18,neutral,0.25,0.25
197,2014-01-29,neutral,0.25,0.25
198,2014-03-19,neutral,0.25,0.25
199,2014-04-30,neutral,0.25,0.25
200,2014-06-18,neutral,0.25,0.25
201,2014-07-30,neutral,0.25,0.25
202,2014-09-17,neutral,0.25,0.25
203,2014-10-29,neutral,0.25,0.25
204,2014-12-17,neutral,0.25,0.25
205,2015-01-28,neutral,0.25,0.25
206,2015-03-18,neutral,0.25,0.25
207,2015-04-29,neutral,0.25,0.25
208,2015-06-17,neutral,0.25,0.25
209,2015-07-29,neutral,0.25,0.25
210,2015-09-17,neutral,0.25,0.25
211,2015-10-28,neutral,0.25,0.25
212,2015-12-16,neutral,0.5,0.5
213,2016-01-27,neutral,0.5,0.5
214,2016-03-16,neutral,0.5,0.5
215,2016-04-27,neutral,0.5,0.5
216,2016-06-15,neutral,0.5,0.5
217,2016-07-27,neutral,0.5,0.5
218,2016-09-21,neutral,0.5,0.5
219,2016-11-02,neutral,0.5,0.5
220,2016-12-14,neutral,0.75,0.75
221,2017-02-01,neutral,0.75,0.75
222,2017-03-15,neutral,1.0,1.0
223,2017-05-03,neutral,1.0,1.0
224,2017-06-14,neutral,1.25,1.25
225,2017-07-26,neutral,1.25,1.25
226,2017-09-20,neutral,1.25,1.25
227,2017-11-01,neutral,1.25,1.25
228,2017-12-13,neutral,1.5,1.5
229,2018-01-31,neutral,1.5,1.5
230,2018-03-21,neutral,1.75,1.75
231,2018-05-02,neutral,1.75,1.75
232,2018-06-13,neutral,2.0,2.0
233,2018-08-01,neutral,2.0,2.0
234,2018-09-26,neutral,2.25,2.25
235,2018-11-08,neutral,2.25,2.25
236,2018-12-19,neutral,2.5,2.5
237,2019-01-30,neutral,2.5,2.5
238,2019-03-20,neutral,2.5,2.5
239,2019-05-01,neutral,2.5,2.5
240,2019-06-19,neutral,2.5,2.5
241,2019-07-31,neutral,2.25,2.25
242,2019-09-18,neutral,2.0,2.0
243,2019-10-30,neutral,1.75,1.75
244,2019-12-11,neutral,1.75,1.75
245,2020-01-29,neutral,1.75,1.75
248,2020-04-29,neutral,0.25,0.25
249,2020-06-10,neutral,0.25,0.25
250,2020-07-29,neutral,0.25,0.25
251,2020-09-16,neutral,0.25,0.25
252,2020-11-05,neutral,0.25,0.25
253,2020-12-16,neutral,0.25,0.25
254,2021-01-27,neutral,0.25,0.25
255,2021-03-17,neutral,0.25,0.25
256,2021-04-28,neutral,0.25,0.25
257,2021-06-16,neutral,0.25,0.25
258,2021-07-28,neutral,0.25,0.25
259,2021-09-22,neutral,0.25,0.25
260,2021-11-03,neutral,0.25,0.25
261,2021-12-15,neutral,0.25,0.25
262,2022-01-26,neutral,0.25,0.25
263,2022-03-16,neutral,0.5,0.5
264,2022-05-04,neutral,1.0,1.0
265,2022-06-15,up,1.75,1.5
266,2022-07-27,neutral,2.5,2.5
267,2022-09-21,neutral,3.25,3.25
268,2022-11-02,neutral,4.0,4.0
269,2022-12-14,neutral,4.5,4.5
270,2023-02-01,neutral,4.75,4.75
271,2023-03-22,neutral,5.0,5.0
272,2023-05-03,neutral,5.25,5.25
273,2023-06-14,neutral,5.25,5.25
274,2023-07-26,neutral,5.5,5.5
275,2023-09-20,neutral,5.5,5.5
276,2023-11-01,neutral,5.5,5.5
277,2023-12-13,neutral,5.5,5.5
278,2024-01-31,neutral,5.5,5.5
279,2024-03-20,neutral,5.5,5.5
280,2024-05-01,neutral,5.5,5.5
281,2024-06-12,neutral,5.5,5.5
282,2024-07-31,neutral,5.5,5.5
283,2024-09-18,down,5.0,5.25
284,2024-11-07,neutral,4.75,4.75
285,2024-12-18,neutral,4.5,4.5
286,2025-01-29,neutral,4.5,4.5
