,datetime,actual_state,actual,forecast
0,2008-02-28,down,0.6,0.7
1,2008-03-27,neutral,0.6,0.6
2,2008-04-30,up,0.9,0.2
3,2008-06-26,neutral,1.0,1.0
4,2008-07-31,down,1.9,2.0
5,2008-08-28,up,3.3,2.6
6,2008-09-26,down,2.8,3.3
7,2008-10-30,up,-0.3,-0.5
8,2008-11-25,neutral,-0.5,-0.5
9,2008-12-23,neutral,-0.5,-0.5
10,2009-01-30,up,-3.8,-5.4
11,2009-02-27,down,-6.2,-5.4
12,2009-03-26,up,-6.3,-6.6
13,2009-04-29,down,-6.1,-4.9
14,2009-05-29,down,-5.7,-5.5
15,2009-06-25,down,-6.4,-5.7
16,2009-07-31,up,-1.0,-1.3
17,2009-08-27,up,-1.0,-1.3
18,2009-09-30,up,-0.7,-1.2
19,2009-10-29,up,3.5,3.1
20,2009-11-24,down,2.8,2.9
21,2009-12-22,down,2.2,2.8
22,2010-01-29,up,5.7,4.5
23,2010-02-26,up,5.9,5.6
24,2010-03-26,down,5.6,5.9
25,2010-04-30,down,3.2,3.3
26,2010-05-27,down,3.0,3.3
27,2010-06-25,up,3.7,3.0
28,2010-07-30,down,2.4,2.5
29,2010-08-27,up,1.6,1.4
30,2010-09-30,up,1.7,1.6
31,2010-10-29,neutral,2.0,2.0
32,2010-11-23,up,2.5,2.4
33,2010-12-22,down,2.6,2.7
34,2011-01-28,down,3.2,3.6
35,2011-02-25,down,2.8,3.3
36,2011-03-25,up,3.1,2.9
37,2011-04-28,up,1.8,1.7
38,2011-05-26,down,1.8,2.2
39,2011-06-24,down,0.4,1.9
40,2011-07-29,down,1.3,1.7
41,2011-08-26,down,1.0,1.1
42,2011-09-29,up,1.3,1.2
43,2011-10-27,up,2.5,2.4
44,2011-11-22,down,2.0,2.5
45,2011-12-22,down,1.8,2.0
46,2012-01-27,down,2.8,3.0
47,2012-02-29,up,3.0,2.8
48,2012-03-29,neutral,3.0,3.0
49,2012-04-27,down,2.2,2.5
50,2012-05-31,neutral,1.9,1.9
51,2012-06-28,up,2.0,1.9
52,2012-07-27,neutral,1.5,1.5
53,2012-08-29,neutral,1.7,1.7
54,2012-09-27,down,1.3,1.7
55,2012-10-26,up,2.0,1.9
56,2012-11-29,down,2.7,2.8
57,2012-12-20,up,3.1,2.8
58,2013-01-30,down,-0.1,1.1
59,2013-02-28,down,0.1,0.5
60,2013-03-28,down,0.4,0.5
61,2013-04-26,down,2.5,3.0
62,2013-05-30,down,2.4,2.5
63,2013-06-26,down,1.1,2.4
64,2013-07-31,up,1.7,1.0
65,2013-08-29,up,2.5,2.2
66,2013-09-26,down,2.5,2.6
67,2013-11-07,up,2.8,2.0
68,2013-12-05,up,3.6,3.0
69,2013-12-20,up,4.1,3.6
70,2014-01-30,neutral,3.2,3.2
71,2014-02-28,down,2.4,2.5
72,2014-03-27,down,2.6,2.7
73,2014-04-30,down,0.1,1.2
74,2014-05-29,down,-1.0,-0.5
75,2014-06-25,down,-2.1,-1.7
76,2014-07-30,up,4.0,3.0
77,2014-08-28,up,4.2,3.9
78,2014-09-26,neutral,4.6,4.6
79,2014-10-30,up,3.5,3.0
80,2014-11-25,up,3.9,3.3
81,2014-12-23,up,5.0,4.3
82,2015-01-30,down,2.6,3.0
83,2015-02-27,up,2.2,2.1
84,2015-03-27,down,2.2,2.4
85,2015-04-29,down,0.2,1.0
86,2015-05-29,up,-0.7,-0.8
87,2015-06-24,up,0.6,-0.2
88,2015-07-30,down,2.3,2.6
89,2015-08-27,up,3.7,3.2
90,2015-09-25,up,3.9,3.7
91,2015-10-29,down,1.5,1.6
92,2015-11-24,neutral,2.1,2.1
93,2015-12-22,up,2.0,1.9
94,2016-01-29,down,0.7,0.8
95,2016-02-26,up,1.0,0.4
96,2016-03-25,up,1.4,1.0
97,2016-04-28,down,0.5,0.7
98,2016-05-27,down,0.8,0.9
99,2016-06-28,down,0.8,1.0
100,2016-07-29,down,1.2,2.6
101,2016-08-26,neutral,1.1,1.1
102,2016-09-29,up,1.4,1.3
103,2016-10-28,up,2.9,2.5
104,2016-11-29,up,3.2,3.0
105,2016-12-22,up,3.5,3.3
106,2017-01-27,down,1.9,2.2
107,2017-02-28,down,1.9,2.1
108,2017-03-30,up,2.1,2.0
109,2017-04-28,down,0.7,1.2
110,2017-05-26,up,1.2,0.9
111,2017-06-29,neutral,1.2,1.2
112,2017-07-28,neutral,2.6,2.6
113,2017-08-30,up,3.0,2.7
114,2017-09-28,up,3.1,3.0
115,2017-10-27,up,3.0,2.5
116,2017-11-29,up,3.3,3.2
117,2017-12-21,down,3.2,3.3
118,2018-01-26,down,2.6,3.0
119,2018-02-28,neutral,2.5,2.5
120,2018-03-28,down,2.3,2.7
121,2018-04-27,up,2.3,2.0
122,2018-05-30,down,2.2,2.3
123,2018-06-28,neutral,2.2,2.2
124,2018-07-27,down,2.0,4.1
125,2018-08-29,up,4.2,4.0
126,2018-09-27,neutral,4.2,4.2
127,2018-10-26,up,4.2,3.3
128,2018-11-28,down,3.5,3.6
129,2018-12-21,down,3.4,3.5
130,2019-02-28,neutral,2.6,2.6
131,2019-03-28,down,2.2,2.4
132,2019-04-26,up,2.2,2.0
133,2019-05-30,neutral,3.1,3.1
134,2019-06-27,neutral,3.1,3.1
135,2019-07-26,up,2.1,1.8
136,2019-08-29,neutral,2.0,2.0
137,2019-09-26,neutral,2.0,2.0
138,2019-10-30,up,1.9,1.6
139,2019-11-27,up,2.1,1.9
140,2019-12-20,neutral,2.1,2.1
141,2020-01-30,neutral,2.1,2.1
142,2020-02-27,neutral,2.1,2.1
143,2020-03-26,neutral,2.1,2.1
144,2020-04-29,down,-4.8,-4.0
145,2020-05-28,down,-5.0,-4.8
146,2020-06-25,neutral,-5.0,-5.0
147,2020-07-30,up,-32.9,-34.1
148,2020-08-27,up,-31.7,-32.5
149,2020-09-30,up,-31.4,-31.7
150,2020-10-29,up,33.1,31.0
151,2020-11-25,down,33.1,33.2
152,2020-12-22,up,33.4,33.1
153,2021-01-28,neutral,4.0,4.0
154,2021-02-25,down,4.1,4.2
155,2021-03-25,up,4.3,4.1
156,2021-04-29,up,6.4,6.1
157,2021-05-27,down,6.4,6.5
158,2021-06-24,neutral,6.4,6.4
159,2021-07-29,down,6.5,8.5
160,2021-08-26,down,6.6,6.7
161,2021-09-30,up,6.7,6.6
162,2021-10-28,down,2.0,2.7
163,2021-11-24,down,2.1,2.2
164,2021-12-22,up,2.3,2.1
165,2022-01-27,up,6.9,5.5
166,2022-02-24,neutral,7.0,7.0
167,2022-03-30,down,6.9,7.1
168,2022-04-28,down,-1.4,1.1
169,2022-05-26,down,-1.5,-1.3
170,2022-06-29,down,-1.6,-1.5
171,2022-07-28,down,-0.9,0.5
172,2022-08-25,down,-1.6,-0.8
173,2022-09-29,neutral,-0.6,-0.6
174,2022-10-27,up,2.6,2.4
175,2022-11-30,down,-0.6,2.7
176,2022-12-22,up,3.2,2.9
177,2023-01-26,up,3.2,2.6
178,2023-02-23,up,3.2,2.9
179,2023-03-30,down,2.6,2.7
180,2023-04-27,up,2.6,2.0
181,2023-05-25,up,2.6,1.1
182,2023-06-29,up,2.0,1.4
183,2023-07-27,up,2.0,1.8
184,2023-08-30,down,2.0,2.4
185,2023-09-28,neutral,2.1,2.1
186,2023-10-26,down,2.1,4.3
187,2023-11-29,down,2.1,4.9
188,2023-12-21,down,4.9,5.2
189,2024-01-25,up,4.9,2.0
190,2024-02-28,up,4.9,3.3
191,2024-03-28,up,3.4,3.2
192,2024-04-25,up,3.4,2.5
193,2024-05-30,up,3.4,1.6
194,2024-06-27,up,1.4,1.3
195,2024-07-25,down,1.4,2.0
196,2024-08-29,down,1.6,2.8
197,2024-09-26,neutral,3.0,3.0
198,2024-10-30,neutral,3.0,3.0
199,2024-11-27,up,3.0,2.8
200,2024-12-19,up,3.1,2.8
201,2025-01-30,up,3.1,2.7
202,2025-02-27,up,3.1,2.3
203,2025-03-27,up,2.4,2.3
204,2025-04-30,up,2.4,0.2
205,2025-05-29,up,2.4,-0.3
206,2025-06-26,down,-0.5,-0.2
