,datetime,actual_state,actual,forecast
457,2008-02-21,up,342.0,345.0
458,2008-02-28,down,373.0,350.0
459,2008-03-06,up,351.0,363.0
460,2008-03-13,up,353.0,355.0
461,2008-03-20,down,378.0,360.0
462,2008-03-27,up,366.0,370.0
463,2008-04-03,down,407.0,366.0
464,2008-04-10,up,357.0,365.0
465,2008-04-17,up,372.0,375.0
466,2008-04-24,up,342.0,375.0
467,2008-05-01,down,380.0,363.0
468,2008-05-08,up,365.0,370.0
469,2008-05-15,down,371.0,370.0
470,2008-05-22,up,365.0,373.0
471,2008-05-29,down,372.0,370.0
472,2008-06-05,up,357.0,374.0
473,2008-06-12,down,384.0,370.0
474,2008-06-19,down,381.0,375.0
475,2008-06-26,down,384.0,375.0
476,2008-07-03,down,404.0,384.0
477,2008-07-10,up,346.0,397.0
478,2008-07-17,up,366.0,380.0
479,2008-07-24,down,406.0,379.0
480,2008-07-31,down,448.0,395.0
481,2008-08-07,down,455.0,420.0
482,2008-08-14,down,450.0,433.0
483,2008-08-21,up,432.0,443.0
484,2008-08-28,up,425.0,427.0
485,2008-09-04,down,444.0,422.0
486,2008-09-11,down,445.0,440.0
487,2008-09-18,down,455.0,440.0
488,2008-09-25,down,493.0,450.0
489,2008-10-02,down,497.0,475.0
490,2008-10-09,down,478.0,475.0
491,2008-10-16,up,461.0,469.0
492,2008-10-23,down,478.0,470.0
493,2008-10-30,down,479.0,478.0
494,2008-11-06,down,481.0,480.0
495,2008-11-13,down,516.0,483.0
496,2008-11-20,down,542.0,508.0
497,2008-11-26,up,529.0,530.0
498,2008-12-04,up,509.0,540.0
499,2008-12-11,down,573.0,530.0
500,2008-12-18,up,554.0,558.0
501,2008-12-24,down,586.0,550.0
502,2008-12-31,up,492.0,575.0
503,2009-01-08,up,467.0,540.0
504,2009-01-15,down,524.0,520.0
505,2009-01-22,down,589.0,545.0
506,2009-01-29,down,585.0,580.0
507,2009-02-05,down,626.0,590.0
508,2009-02-12,down,623.0,610.0
