,datetime,actual_state,actual,forecast
151,2013-08-06,down,3.87,3.91
152,2013-09-10,down,3.81,3.96
153,2013-10-24,up,3.84,3.77
154,2013-11-22,down,3.88,3.89
155,2013-12-10,down,3.93,3.96
156,2014-01-17,up,4.03,3.97
157,2014-02-11,down,3.91,4.04
158,2014-03-11,down,3.87,4.03
159,2014-04-08,up,4.13,3.99
160,2014-05-09,down,4.17,4.21
161,2014-06-10,up,4.46,4.04
162,2014-07-08,up,4.58,4.53
163,2014-08-12,down,4.675,4.74
164,2014-09-09,down,4.605,4.72
165,2014-10-07,up,4.853,4.71
166,2014-11-13,down,4.685,4.85
167,2014-12-09,up,4.83,4.79
168,2015-01-13,down,4.847,4.863
169,2015-02-10,down,4.877,4.99
170,2015-03-10,down,4.965,5.053
171,2015-04-07,up,5.144,5.01
172,2015-05-12,up,5.109,5.085
173,2015-06-09,up,5.334,5.03
174,2015-07-07,up,5.357,5.35
175,2015-08-12,up,5.323,5.3
176,2015-09-09,up,5.668,5.288
177,2015-10-16,down,5.37,5.625
178,2015-11-12,up,5.534,5.37
179,2015-12-08,down,5.349,5.5
180,2016-01-12,down,5.346,5.41
181,2016-02-09,down,5.281,5.4
182,2016-03-17,up,5.604,5.5
183,2016-04-05,up,5.608,5.5
184,2016-05-10,up,5.67,5.431
185,2016-06-08,up,5.845,5.672
186,2016-07-12,down,5.514,5.7
187,2016-08-10,up,5.643,5.574
188,2016-09-07,up,5.831,5.58
189,2016-10-12,down,5.453,5.724
190,2016-11-08,up,5.631,5.508
191,2016-12-07,down,5.451,5.5
192,2017-01-10,down,5.505,5.555
193,2017-02-07,down,5.539,5.568
194,2017-03-16,up,5.625,5.45
195,2017-04-11,up,5.682,5.655
196,2017-05-09,up,5.785,5.67
197,2017-06-06,up,5.967,5.65
198,2017-07-11,down,5.702,5.95
199,2017-08-08,up,6.116,5.775
200,2017-09-12,up,6.14,5.96
201,2017-10-11,down,6.09,6.125
202,2017-11-07,up,6.177,6.091
203,2017-12-11,down,5.925,6.03
204,2018-01-09,down,5.978,6.038
205,2018-02-06,down,5.667,5.95
206,2018-03-16,up,6.228,5.89
207,2018-04-13,down,6.078,6.11
208,2018-05-08,up,6.633,6.02
209,2018-06-05,up,6.84,6.49
210,2018-07-10,up,6.659,6.583
211,2018-08-07,up,6.822,6.74
212,2018-09-11,up,7.077,6.646
213,2018-10-16,up,7.293,6.945
214,2018-11-06,down,6.96,7.1
215,2018-12-10,down,7.131,7.22
216,2019-01-08,up,7.166,7.063
217,2019-02-12,up,7.479,6.9
218,2019-03-15,up,7.625,7.31
219,2019-04-09,down,7.142,7.55
220,2019-05-07,up,7.474,7.35
221,2019-06-10,down,7.372,7.479
222,2019-07-09,down,7.384,7.47
223,2019-08-06,down,7.248,7.45
224,2019-09-10,down,7.174,7.311
225,2019-10-09,up,7.301,7.191
226,2019-11-05,up,7.032,7.028
227,2019-12-17,up,7.361,7.018
228,2020-01-17,down,6.787,7.233
229,2020-02-11,down,6.552,7.0
230,2020-03-17,up,7.012,6.476
231,2020-04-07,up,7.004,6.6
233,2020-06-09,down,4.996,5.0
234,2020-07-07,up,5.371,4.85
236,2020-09-09,up,6.697,6.0
237,2020-10-06,down,6.352,6.685
238,2020-11-10,down,6.494,6.5
239,2020-12-09,up,6.632,6.3
241,2021-02-09,up,6.752,6.5
242,2021-03-11,up,7.099,6.6
243,2021-04-06,up,7.526,6.995
244,2021-05-11,up,8.288,7.5
245,2021-06-08,up,9.193,8.3
246,2021-07-07,up,9.483,9.388
247,2021-08-09,up,10.185,9.281
248,2021-09-08,up,11.098,10.0
249,2021-10-12,down,10.629,10.925
250,2021-11-12,up,10.602,10.3
251,2021-12-08,up,11.091,10.369
252,2022-01-04,down,10.775,11.075
253,2022-02-01,up,11.448,10.3
254,2022-03-09,up,11.283,10.925
255,2022-03-29,up,11.344,11.0
256,2022-05-03,up,11.855,11.0
257,2022-06-01,up,11.681,11.4
258,2022-07-06,up,11.303,11.0
259,2022-08-02,up,11.04,11.0
260,2022-08-30,up,11.17,10.475
261,2022-10-04,down,10.28,10.775
262,2022-11-01,up,10.687,10.0
263,2022-11-30,up,10.512,10.3
264,2023-01-04,up,10.44,10.0
265,2023-02-01,up,11.234,10.25
266,2023-03-08,up,10.563,10.5
267,2023-04-04,down,9.974,10.4
268,2023-05-02,down,9.745,9.775
269,2023-05-31,up,10.32,9.775
270,2023-07-06,down,9.616,9.935
271,2023-08-01,down,9.165,9.61
272,2023-08-29,down,8.92,9.465
273,2023-10-03,up,9.497,8.8
274,2023-11-01,up,9.35,9.25
275,2023-12-05,down,8.852,9.3
276,2024-01-03,up,8.925,8.85
277,2024-01-30,up,8.889,8.75
278,2024-03-06,down,8.748,8.8
279,2024-04-02,up,8.813,8.76
280,2024-05-01,down,8.355,8.68
281,2024-06-04,down,7.919,8.37
282,2024-07-02,up,8.23,7.96
283,2024-07-30,down,7.91,8.02
284,2024-09-04,down,7.711,8.09
285,2024-10-01,up,7.861,7.64
286,2024-10-29,down,7.372,7.98
287,2024-12-03,up,7.839,7.51
288,2025-01-07,up,8.156,7.73
289,2025-02-04,down,7.508,8.01
290,2025-03-11,up,7.762,7.65
291,2025-04-01,down,7.48,7.69
292,2025-04-29,down,7.2,7.49
293,2025-06-03,up,7.395,7.11
294,2025-07-01,up,7.769,7.32
