,datetime,actual_state,actual,forecast
579,2018-03-02,neutral,2.7,2.7
609,2019-05-31,up,2.9,2.8
615,2019-08-30,neutral,2.7,2.7
629,2020-03-27,down,2.2,2.3
631,2020-04-24,neutral,2.1,2.1
633,2020-05-29,up,3.2,3.0
635,2020-06-26,neutral,3.0,3.0
637,2020-07-31,down,3.0,3.1
639,2020-08-28,up,3.1,3.0
641,2020-10-02,down,2.6,2.7
643,2020-10-30,down,2.6,2.7
645,2020-11-25,neutral,2.8,2.8
647,2020-12-23,up,2.5,2.3
651,2021-02-26,neutral,3.3,3.3
655,2021-04-30,down,3.4,3.7
657,2021-05-28,neutral,4.6,4.6
659,2021-06-25,up,4.2,4.0
661,2021-07-30,down,4.7,4.8
663,2021-08-27,neutral,4.6,4.6
665,2021-10-01,down,4.6,4.7
667,2021-10-29,neutral,4.8,4.8
669,2021-11-24,neutral,4.9,4.9
670,2021-12-10,neutral,4.9,4.9
671,2021-12-23,down,4.8,4.9
673,2022-01-28,neutral,4.9,4.9
675,2022-02-25,down,4.9,5.0
677,2022-03-25,neutral,5.4,5.4
679,2022-04-29,neutral,5.4,5.4
681,2022-05-27,down,5.3,5.4
685,2022-07-29,neutral,5.2,5.2
686,2022-08-12,up,5.2,5.1
687,2022-08-26,down,4.8,5.0
693,2022-11-23,down,4.9,5.1
694,2022-12-09,down,4.6,4.9
697,2023-01-27,down,3.9,4.4
698,2023-02-10,down,3.9,4.0
699,2023-02-24,down,4.1,4.2
701,2023-03-31,down,3.6,3.8
702,2023-04-14,up,4.6,3.5
704,2023-05-12,up,4.6,4.4
705,2023-05-26,down,4.2,4.5
706,2023-06-16,down,4.2,4.4
707,2023-06-30,neutral,3.3,3.3
708,2023-07-14,neutral,3.3,3.3
709,2023-07-28,neutral,3.4,3.4
710,2023-08-11,down,3.4,3.8
711,2023-08-25,up,3.5,3.3
712,2023-09-15,neutral,3.5,3.5
713,2023-09-29,up,3.2,3.1
714,2023-10-13,neutral,3.2,3.2
715,2023-10-27,up,4.2,3.8
716,2023-11-10,up,4.4,4.0
717,2023-11-22,up,4.5,4.4
718,2023-12-08,up,4.5,4.3
719,2023-12-22,neutral,3.1,3.1
720,2024-01-19,neutral,3.1,3.1
721,2024-02-02,neutral,2.9,2.9
722,2024-02-16,neutral,2.9,2.9
723,2024-03-01,neutral,3.0,3.0
724,2024-03-15,down,3.0,3.1
725,2024-03-28,down,2.9,3.0
726,2024-04-12,neutral,2.9,2.9
727,2024-04-26,up,3.2,3.1
728,2024-05-10,neutral,3.2,3.2
729,2024-05-24,down,3.3,3.5
730,2024-06-14,up,3.3,3.2
731,2024-06-28,down,3.0,3.3
732,2024-07-12,up,3.0,2.9
733,2024-07-26,neutral,2.9,2.9
734,2024-08-16,up,2.9,2.8
735,2024-08-30,down,2.8,2.9
736,2024-09-13,down,2.7,2.8
737,2024-09-27,neutral,2.7,2.7
738,2024-10-11,neutral,2.7,2.7
739,2024-10-25,down,2.7,2.9
740,2024-11-08,neutral,2.7,2.7
741,2024-11-22,neutral,2.6,2.6
742,2024-12-06,down,2.6,2.7
743,2024-12-20,down,2.8,2.9
744,2025-01-10,neutral,2.8,2.8
745,2025-01-24,neutral,3.3,3.3
746,2025-02-07,neutral,3.3,3.3
747,2025-02-21,neutral,4.3,4.3
749,2025-03-28,up,5.0,4.9
751,2025-04-25,down,6.5,6.7
753,2025-05-30,down,6.6,7.3
754,2025-06-13,up,6.6,6.4
755,2025-06-27,down,5.0,5.1
