,datetime,actual_state,actual,forecast
392,2008-02-29,up,70.8,70.0
393,2008-03-14,up,70.5,69.0
394,2008-03-28,down,69.5,70.0
395,2008-04-11,down,63.2,69.0
396,2008-04-25,down,62.6,63.3
397,2008-05-16,down,59.8,62.0
398,2008-06-13,down,56.7,59.5
399,2008-06-27,down,56.4,56.8
400,2008-07-11,up,56.6,55.8
401,2008-07-25,up,61.2,56.3
402,2008-08-15,up,63.0,62.0
403,2008-09-12,up,73.1,64.0
404,2008-09-26,down,70.3,70.7
407,2008-11-14,up,57.9,56.0
408,2008-11-26,down,55.3,57.0
409,2008-12-12,up,59.1,55.0
410,2008-12-23,up,60.1,58.5
411,2009-01-16,up,61.2,59.5
412,2009-02-13,down,56.2,60.6
413,2009-02-27,up,56.3,56.0
414,2009-03-13,up,56.6,49.9
415,2009-03-27,up,57.3,56.7
416,2009-04-17,up,61.9,58.3
417,2009-05-01,up,65.1,61.7
418,2009-05-15,up,67.9,65.5
419,2009-05-29,up,68.7,67.9
420,2009-06-12,neutral,69.0,69.0
421,2009-06-26,up,70.8,69.1
422,2009-07-10,down,64.6,71.1
423,2009-07-24,up,66.0,65.1
424,2009-08-14,down,63.2,68.6
425,2009-08-28,up,65.7,64.6
426,2009-09-11,up,70.2,67.1
427,2009-09-25,up,73.5,70.2
428,2009-10-16,down,69.4,73.5
429,2009-10-30,up,70.6,70.0
430,2009-11-13,down,66.0,71.2
431,2009-11-25,up,67.4,67.2
432,2009-12-11,up,73.4,69.1
433,2009-12-23,down,72.5,74.2
434,2010-01-15,down,72.8,73.8
435,2010-01-29,up,74.4,73.0
436,2010-02-12,down,73.7,74.8
437,2010-02-26,down,73.6,74.0
438,2010-03-12,down,72.5,74.0
439,2010-03-26,up,73.6,73.0
440,2010-04-16,down,69.5,75.0
441,2010-04-30,up,72.2,71.5
442,2010-05-14,down,73.3,73.5
443,2010-05-28,down,73.6,73.7
444,2010-06-11,up,75.5,74.8
445,2010-06-25,up,76.0,75.3
446,2010-07-16,down,66.5,74.5
447,2010-07-30,up,67.8,67.5
448,2010-08-13,down,69.6,70.0
449,2010-08-27,down,68.9,69.4
450,2010-09-17,down,66.6,70.0
451,2010-10-01,up,68.2,67.1
452,2010-10-15,down,67.9,68.6
453,2010-10-29,down,67.7,68.0
454,2010-11-12,up,69.3,69.0
455,2010-11-24,up,71.6,69.4
456,2010-12-10,up,74.2,72.5
457,2010-12-23,down,74.5,75.0
458,2011-01-14,down,72.7,75.5
459,2011-01-28,up,74.2,73.2
460,2011-02-11,down,75.1,75.5
461,2011-02-25,up,77.5,75.1
462,2011-03-11,down,68.2,76.5
463,2011-03-25,down,67.5,68.0
464,2011-04-15,up,69.6,68.8
465,2011-04-29,down,69.8,70.0
466,2011-05-13,up,72.4,70.0
467,2011-05-27,up,74.3,72.4
468,2011-06-17,down,71.8,74.0
469,2011-07-01,down,71.5,72.0
470,2011-07-15,down,63.8,72.5
471,2011-07-29,down,63.7,64.0
472,2011-08-12,down,54.9,63.0
473,2011-08-26,down,55.7,56.0
474,2011-09-16,up,57.8,56.0
475,2011-09-30,up,59.4,57.9
476,2011-10-14,down,57.5,60.0
477,2011-10-28,up,60.9,58.0
478,2011-11-11,up,64.2,61.0
