,datetime,actual_state,actual,forecast
457,2008-02-27,down,588,600.0
458,2008-03-26,up,590,578.0
459,2008-04-24,down,562,580.0
460,2008-05-27,up,526,522.0
461,2008-06-25,down,512,515.0
462,2008-07-25,up,530,508.0
463,2008-08-26,down,515,530.0
464,2008-09-25,down,460,510.0
465,2008-10-27,up,464,452.0
466,2008-11-26,down,433,443.0
467,2008-12-23,down,407,417.0
468,2009-01-29,down,331,395.0
469,2009-02-26,down,309,325.0
470,2009-03-25,up,358,302.0
471,2009-04-24,up,351,340.0
472,2009-05-28,down,344,363.0
473,2009-06-24,down,346,360.0
474,2009-07-27,up,395,355.0
475,2009-08-26,up,426,393.0
476,2009-09-25,down,417,443.0
477,2009-10-28,down,405,445.0
478,2009-11-25,down,400,408.0
479,2009-12-23,down,370,439.0
480,2010-01-27,down,348,370.0
481,2010-02-24,down,315,354.0
482,2010-03-24,up,324,315.0
483,2010-04-23,up,439,325.0
484,2010-05-26,up,446,425.0
485,2010-06-23,down,267,450.0
486,2010-07-26,up,315,310.0
487,2010-08-25,down,288,330.0
488,2010-09-24,down,288,290.0
489,2010-10-27,up,308,300.0
490,2010-11-24,down,275,312.0
491,2010-12-23,down,280,303.0
492,2011-01-26,up,325,300.0
493,2011-02-24,down,301,310.0
494,2011-03-23,down,270,288.0
495,2011-04-25,up,301,280.0
496,2011-05-24,up,326,305.0
497,2011-06-23,up,315,310.0
498,2011-07-26,down,300,320.0
499,2011-08-23,down,302,310.0
500,2011-09-26,up,296,293.0
501,2011-10-26,up,303,300.0
502,2011-11-28,down,310,312.0
503,2011-12-23,up,314,313.0
504,2012-01-26,up,324,320.0
505,2012-02-24,up,318,315.0
506,2012-03-23,up,353,325.0
507,2012-04-24,up,332,320.0
508,2012-05-23,up,343,335.0
509,2012-06-25,up,382,346.0
510,2012-07-25,down,359,372.0
511,2012-08-23,up,374,365.0
512,2012-09-26,down,368,380.0
513,2012-10-24,down,369,385.0
514,2012-11-28,down,361,390.0
515,2012-12-27,up,398,378.0
516,2013-01-25,down,378,385.0
517,2013-02-26,up,431,381.0
518,2013-03-26,down,411,422.0
519,2013-04-23,up,444,420.0
520,2013-05-23,up,466,425.0
521,2013-06-25,down,459,462.0
522,2013-07-24,down,455,482.0
523,2013-08-23,down,390,490.0
524,2013-09-25,down,379,420.0
525,2013-12-04,down,354,427.0
526,2013-12-04,up,474,428.0
527,2013-12-24,neutral,445,445.0
528,2014-01-27,down,427,457.0
529,2014-02-26,up,455,400.0
530,2014-03-25,up,449,445.0
531,2014-04-23,down,407,450.0
532,2014-05-23,neutral,425,425.0
533,2014-06-24,up,442,440.0
534,2014-07-24,down,422,479.0
535,2014-08-25,down,427,430.0
536,2014-09-24,up,466,430.0
537,2014-10-24,down,455,470.0
538,2014-11-26,down,445,471.0
