,datetime,actual_state,actual,forecast
458,2008-03-07,down,-63,25.0
459,2008-04-04,down,-80,-50.0
460,2008-05-02,up,-20,-80.0
461,2008-06-06,up,-49,-57.0
462,2008-07-03,down,-62,-60.0
463,2008-08-01,up,-51,-75.0
464,2008-09-05,down,-84,-73.0
465,2008-10-03,down,-159,-100.0
466,2008-11-07,down,-240,-200.0
467,2008-12-05,down,-533,-320.0
468,2009-01-09,down,-524,-475.0
469,2009-02-06,down,-598,-530.0
470,2009-03-06,down,-651,-636.0
471,2009-04-03,down,-699,-662.0
472,2009-05-08,up,-504,-580.0
473,2009-06-05,up,-322,-521.0
474,2009-07-02,down,-443,-375.0
475,2009-08-07,up,-276,-330.0
476,2009-09-04,up,-201,-220.0
477,2009-10-02,down,-219,-190.0
478,2009-11-06,up,-111,-166.0
479,2009-12-04,up,4,-114.0
480,2010-01-08,neutral,-150,0.0
481,2010-02-05,down,-26,15.0
482,2010-03-05,up,-14,-55.0
483,2010-04-02,up,230,190.0
484,2010-05-07,up,290,187.0
485,2010-06-04,down,433,500.0
486,2010-07-02,down,-221,-100.0
487,2010-08-06,up,-54,-65.0
488,2010-09-03,up,-57,-118.0
489,2010-10-08,down,-41,3.0
490,2010-11-05,up,172,60.0
491,2010-12-03,down,71,140.0
492,2011-01-07,down,121,150.0
493,2011-02-04,down,63,150.0
494,2011-03-04,up,194,180.0
495,2011-04-01,up,221,188.0
496,2011-05-06,up,232,185.0
497,2011-06-03,down,25,169.0
498,2011-07-08,down,46,89.0
499,2011-08-05,down,85,95.0
500,2011-09-02,down,57,74.0
501,2011-10-07,up,158,53.0
502,2011-11-04,up,100,95.0
503,2011-12-02,down,100,120.0
504,2012-01-06,up,203,150.0
505,2012-02-03,up,284,150.0
506,2012-03-09,up,240,210.0
507,2012-04-06,down,154,203.0
508,2012-05-04,down,77,170.0
509,2012-06-01,down,77,150.0
510,2012-07-06,down,64,90.0
511,2012-08-03,up,141,100.0
512,2012-09-07,up,142,125.0
513,2012-10-05,up,148,113.0
514,2012-11-02,up,138,125.0
515,2012-12-07,up,161,93.0
516,2013-01-04,up,196,150.0
517,2013-02-01,down,119,160.0
518,2013-03-08,up,268,160.0
519,2013-04-05,down,138,200.0
520,2013-05-03,up,149,145.0
521,2013-06-07,up,195,170.0
522,2013-07-05,up,188,165.0
523,2013-08-02,down,104,184.0
524,2013-09-06,up,193,180.0
525,2013-10-22,down,163,180.0
526,2013-11-08,up,200,125.0
527,2013-12-06,up,241,180.0
528,2014-01-10,down,75,196.0
529,2014-02-07,down,129,185.0
530,2014-03-07,up,197,149.0
531,2014-04-04,up,203,200.0
532,2014-05-02,up,282,210.0
533,2014-06-06,up,224,218.0
534,2014-07-03,up,298,212.0
535,2014-08-01,down,212,233.0
536,2014-09-05,down,180,225.0
537,2014-10-03,up,256,215.0
538,2014-11-07,up,243,231.0
539,2014-12-05,up,353,225.0
540,2015-01-09,up,329,240.0
541,2015-02-06,up,239,234.0
542,2015-03-06,up,264,240.0
543,2015-04-03,down,85,245.0
544,2015-05-08,down,221,224.0
