,datetime,actual_state,actual,forecast,previous,revised
0,2008-02-26,up,1.0,0.4,,
1,2008-03-18,neutral,0.3,0.3,1.0,
2,2008-04-15,up,1.1,0.6,0.3,
3,2008-05-20,down,0.2,0.4,1.1,
4,2008-06-17,up,1.4,1.0,0.2,
5,2008-07-15,up,1.8,1.3,1.4,
6,2008-08-19,up,1.2,0.6,1.8,
7,2008-09-12,down,-0.9,-0.5,1.2,
8,2008-10-15,neutral,-0.4,-0.4,-0.9,
9,2008-11-18,down,-2.8,-1.9,-0.4,
10,2008-12-12,down,-2.2,-2.0,-2.8,
11,2009-01-15,up,-1.9,-2.0,-2.2,
12,2009-02-19,up,0.8,0.2,-1.9,
13,2009-03-17,down,0.1,0.3,0.8,
14,2009-04-14,down,-1.2,-0.1,0.1,
15,2009-05-14,up,0.3,0.1,-1.2,
16,2009-06-16,down,0.2,0.6,0.3,
17,2009-07-14,up,1.8,0.9,0.2,
18,2009-08-18,down,-0.9,-0.2,1.8,
19,2009-09-15,up,1.7,0.9,-0.9,
20,2009-10-20,neutral,-0.6,0.0,1.7,
21,2009-11-17,down,0.3,0.6,-0.6,
22,2009-12-15,up,1.8,0.8,0.3,
23,2010-01-20,up,0.2,0.1,1.8,0.2
24,2010-02-18,up,1.4,0.8,0.2,
25,2010-03-17,down,-0.6,-0.2,1.4,
26,2010-04-22,up,0.7,0.4,-0.6,
27,2010-05-18,down,-0.1,0.1,0.7,
28,2010-06-16,up,-0.3,-0.5,-0.1,
29,2010-07-15,down,-0.5,-0.1,-0.3,
30,2010-08-17,neutral,0.2,0.2,-0.5,
31,2010-09-16,up,0.4,0.3,0.2,
32,2010-10-14,up,0.4,0.2,0.4,
33,2010-11-16,down,0.4,0.8,0.4,
34,2010-12-14,up,0.8,0.5,0.4,
35,2011-01-13,up,1.1,0.7,0.8,1.1
36,2011-02-16,neutral,0.8,0.8,1.1,
37,2011-03-16,up,1.6,0.6,0.8,
38,2011-04-14,down,0.7,1.0,1.6,
39,2011-05-12,up,0.8,0.6,0.7,
40,2011-06-14,up,0.2,0.1,0.8,
41,2011-07-14,down,-0.4,-0.2,0.2,
42,2011-08-17,up,0.2,0.1,-0.4,
43,2011-09-14,neutral,0.0,0.0,0.2,
44,2011-10-18,up,0.8,0.2,0.0,
45,2011-11-15,down,-0.3,-0.2,0.8,
46,2011-12-15,neutral,0.3,0.3,-0.3,
47,2012-01-18,down,-0.1,0.1,0.3,
48,2012-02-16,down,0.1,0.3,-0.1,
49,2012-03-15,down,0.4,0.5,0.1,
50,2012-04-12,down,0.0,0.3,0.4,
51,2012-05-11,neutral,-0.2,0.0,0.0,
52,2012-06-13,down,-1.0,-0.6,-0.2,
53,2012-07-13,up,0.1,-0.5,-1.0,
54,2012-08-14,up,0.3,0.2,0.1,
55,2012-09-13,up,1.7,1.1,0.3,
56,2012-10-12,up,1.1,0.7,1.7,
57,2012-11-14,down,-0.2,0.2,1.1,
58,2012-12-13,down,-0.8,-0.5,-0.2,
59,2013-01-15,down,-0.3,-0.1,-0.8,
60,2013-02-20,down,0.2,0.4,-0.3,
61,2013-03-14,neutral,0.7,0.7,0.2,
62,2013-04-12,down,-0.6,-0.2,0.7,
63,2013-05-15,down,-0.7,-0.6,-0.6,
64,2013-06-14,up,0.5,0.1,-0.7,
