,datetime,actual_state,actual,forecast
457,2008-02-21,down,-24.0,-10.0
458,2008-03-20,up,-17.4,-19.0
459,2008-04-17,down,-24.9,-15.0
460,2008-05-15,up,-15.6,-19.0
461,2008-06-19,down,-17.1,-10.0
462,2008-07-17,down,-16.3,-15.0
463,2008-08-21,up,-12.7,-14.5
464,2008-09-18,up,3.8,-10.0
466,2008-11-20,down,-39.3,-35.0
467,2008-12-18,up,-36.1,-40.0
468,2009-01-15,up,-24.3,-33.5
469,2009-02-19,down,-41.3,-24.1
470,2009-03-19,up,-35.0,-39.1
471,2009-04-16,up,-24.4,-31.8
472,2009-05-21,down,-22.6,-18.5
473,2009-06-18,up,-2.2,-17.5
474,2009-07-16,down,-7.5,-5.0
475,2009-08-20,up,4.2,-1.9
476,2009-09-17,up,14.1,8.1
477,2009-10-15,down,11.5,12.2
478,2009-11-19,up,16.7,12.5
479,2009-12-17,up,22.5,16.0
480,2010-01-21,down,15.2,18.8
481,2010-02-18,up,17.6,17.0
482,2010-03-18,up,18.9,18.0
483,2010-04-15,up,20.2,20.0
484,2010-05-20,down,21.4,22.0
485,2010-06-17,down,8.0,18.8
486,2010-07-15,down,5.1,10.0
487,2010-08-19,down,-7.7,7.5
488,2010-09-16,neutral,-0.7,0.0
489,2010-10-21,down,1.0,1.4
490,2010-11-18,up,22.5,4.5
491,2010-12-16,up,20.8,14.1
492,2011-01-20,down,19.3,21.0
493,2011-02-17,up,35.9,21.0
494,2011-03-17,up,43.4,29.9
495,2011-04-21,down,18.5,36.8
496,2011-05-19,down,3.9,20.0
497,2011-06-16,down,-7.7,7.0
498,2011-07-21,down,3.2,3.4
499,2011-08-18,down,-30.7,3.9
500,2011-09-15,down,-17.5,-15.0
501,2011-10-20,up,8.7,-9.5
502,2011-11-17,down,3.6,9.0
503,2011-12-15,up,10.3,5.0
504,2012-01-19,down,7.3,11.0
505,2012-02-16,up,10.2,8.4
506,2012-03-15,up,12.5,11.4
507,2012-04-19,down,8.5,12.0
508,2012-05-17,down,-5.8,10.0
509,2012-06-21,down,-16.6,1.3
510,2012-07-19,down,-12.9,-8.0
511,2012-08-16,down,-7.1,-5.0
512,2012-09-20,up,-1.9,-4.0
513,2012-10-18,up,5.7,1.0
514,2012-11-15,down,-10.7,2.0
515,2012-12-20,up,4.6,-3.0
516,2013-01-17,down,-5.8,5.8
517,2013-02-21,down,-12.5,1.0
518,2013-03-21,up,2.0,-2.0
519,2013-04-18,down,1.3,3.0
520,2013-05-16,down,-5.2,2.4
521,2013-06-20,up,12.5,-2.0
522,2013-07-18,up,19.8,7.8
523,2013-08-15,down,9.3,15.0
524,2013-09-19,up,22.3,10.0
525,2013-10-17,up,19.8,15.0
526,2013-11-21,down,6.5,15.0
527,2013-12-19,down,6.4,10.0
528,2014-01-16,up,9.4,8.6
529,2014-02-20,down,-6.3,8.0
530,2014-03-20,up,9.0,3.8
531,2014-04-17,up,16.6,10.0
532,2014-05-15,up,15.4,14.0
533,2014-06-19,up,17.8,14.0
534,2014-07-17,up,23.9,16.0
535,2014-08-21,up,28.0,19.2
536,2014-09-18,down,22.5,23.0
537,2014-10-16,up,20.7,20.0
538,2014-11-20,up,40.8,18.5
539,2014-12-18,down,24.5,26.6
540,2015-01-15,down,6.3,19.9
541,2015-02-19,down,5.2,9.3
