,datetime,actual_state,actual,forecast
463,2008-08-01,down,5.7,5.6
464,2008-09-05,down,6.1,5.7
465,2008-10-03,neutral,6.1,6.1
466,2008-11-07,down,6.5,6.3
467,2008-12-05,up,6.7,6.8
468,2009-01-09,down,7.2,7.0
469,2009-02-06,down,7.6,7.5
470,2009-03-06,down,8.1,7.9
471,2009-04-03,neutral,8.5,8.5
472,2009-05-08,neutral,8.9,8.9
473,2009-06-05,down,9.4,9.2
474,2009-07-02,up,9.5,9.6
475,2009-08-07,up,9.4,9.6
476,2009-09-04,down,9.7,9.5
477,2009-10-02,neutral,9.8,9.8
478,2009-11-06,down,10.2,9.9
479,2009-12-04,up,10.0,10.2
480,2010-01-08,up,10.0,10.1
481,2010-02-05,up,9.7,10.0
482,2010-03-05,up,9.7,9.8
483,2010-04-02,neutral,9.7,9.7
484,2010-05-07,down,9.9,9.7
485,2010-06-04,up,9.7,9.8
486,2010-07-02,up,9.5,9.8
487,2010-08-06,up,9.5,9.6
488,2010-09-03,neutral,9.6,9.6
489,2010-10-08,up,9.6,9.7
490,2010-11-05,neutral,9.6,9.6
491,2010-12-03,down,9.8,9.6
492,2011-01-07,up,9.4,9.7
493,2011-02-04,up,9.0,9.6
494,2011-03-04,up,8.9,9.1
495,2011-04-01,up,8.8,8.9
496,2011-05-06,down,9.0,8.8
497,2011-06-03,down,9.1,9.0
498,2011-07-08,down,9.2,9.1
499,2011-08-05,up,9.1,9.2
500,2011-09-02,neutral,9.1,9.1
501,2011-10-07,neutral,9.1,9.1
502,2011-11-04,up,9.0,9.1
503,2011-12-02,up,8.7,9.0
504,2012-01-06,up,8.5,8.7
505,2012-02-03,up,8.3,8.5
506,2012-03-09,neutral,8.3,8.3
507,2012-04-06,up,8.2,8.3
508,2012-05-04,up,8.1,8.2
509,2012-06-01,down,8.2,8.1
510,2012-07-06,neutral,8.2,8.2
511,2012-08-03,down,8.3,8.2
512,2012-09-07,up,8.1,8.3
513,2012-10-05,up,7.8,8.2
514,2012-11-02,neutral,7.9,7.9
515,2012-12-07,up,7.8,7.9
516,2013-01-04,down,7.8,7.7
517,2013-02-01,down,7.9,7.8
518,2013-03-08,up,7.7,7.9
519,2013-04-05,up,7.6,7.7
520,2013-05-03,up,7.5,7.6
521,2013-06-07,down,7.6,7.5
522,2013-07-05,down,7.6,7.5
523,2013-08-02,up,7.4,7.5
524,2013-09-06,up,7.3,7.4
525,2013-10-22,up,7.2,7.3
526,2013-11-08,neutral,7.3,7.3
527,2013-12-06,up,7.0,7.2
528,2014-01-10,up,6.7,7.0
529,2014-02-07,up,6.6,6.7
530,2014-03-07,down,6.7,6.6
531,2014-04-04,down,6.7,6.6
532,2014-05-02,up,6.3,6.6
533,2014-06-06,up,6.3,6.4
534,2014-07-03,up,6.1,6.3
535,2014-08-01,down,6.2,6.1
536,2014-09-05,neutral,6.1,6.1
537,2014-10-03,up,5.9,6.1
538,2014-11-07,up,5.8,5.9
539,2014-12-05,neutral,5.8,5.8
540,2015-01-09,up,5.6,5.7
541,2015-02-06,down,5.7,5.6
542,2015-03-06,up,5.5,5.6
543,2015-04-03,neutral,5.5,5.5
544,2015-05-08,neutral,5.4,5.4
545,2015-06-05,down,5.5,5.4
546,2015-07-02,up,5.3,5.4
547,2015-08-07,neutral,5.3,5.3
548,2015-09-04,up,5.1,5.2
549,2015-10-02,neutral,5.1,5.1
550,2015-11-06,up,5.0,5.1
551,2015-12-04,neutral,5.0,5.0
552,2016-01-08,neutral,5.0,5.0
553,2016-02-05,up,4.9,5.0
554,2016-03-04,neutral,4.9,4.9
555,2016-04-01,down,5.0,4.9
556,2016-05-06,neutral,5.0,5.0
557,2016-06-03,up,4.7,4.9
558,2016-07-08,down,4.9,4.8
559,2016-08-05,down,4.9,4.8
560,2016-09-02,down,4.9,4.8
561,2016-10-07,down,5.0,4.9
562,2016-11-04,neutral,4.9,4.9
563,2016-12-02,up,4.6,4.9
564,2017-01-06,neutral,4.7,4.7
565,2017-02-03,down,4.8,4.7
566,2017-03-10,neutral,4.7,4.7
567,2017-04-07,up,4.5,4.7
568,2017-05-05,up,4.4,4.6
569,2017-06-02,up,4.3,4.4
570,2017-07-07,down,4.4,4.3
571,2017-08-04,neutral,4.3,4.3
572,2017-09-01,down,4.4,4.3
573,2017-10-06,up,4.2,4.4
574,2017-11-03,up,4.1,4.2
575,2017-12-08,neutral,4.1,4.1
576,2018-01-05,neutral,4.1,4.1
577,2018-02-02,neutral,4.1,4.1
578,2018-03-09,down,4.1,4.0
579,2018-04-06,down,4.1,4.0
580,2018-05-04,up,3.9,4.0
581,2018-06-01,up,3.8,3.9
582,2018-07-06,down,4.0,3.8
583,2018-08-03,neutral,3.9,3.9
584,2018-09-07,down,3.9,3.8
585,2018-10-05,up,3.7,3.8
586,2018-11-02,neutral,3.7,3.7
587,2018-12-07,neutral,3.7,3.7
588,2019-01-04,down,3.9,3.7
589,2019-02-01,down,4.0,3.9
590,2019-03-08,up,3.8,3.9
591,2019-04-05,neutral,3.8,3.8
592,2019-05-03,up,3.6,3.8
593,2019-06-07,neutral,3.6,3.6
594,2019-07-05,down,3.7,3.6
595,2019-08-02,neutral,3.7,3.7
596,2019-09-06,neutral,3.7,3.7
597,2019-10-04,up,3.5,3.7
598,2019-11-01,neutral,3.6,3.6
599,2019-12-06,up,3.5,3.6
600,2020-01-10,neutral,3.5,3.5
601,2020-02-07,down,3.6,3.5
602,2020-03-06,up,3.5,3.6
603,2020-04-03,down,4.4,3.8
604,2020-05-08,up,14.7,16.0
605,2020-06-05,up,13.3,19.7
606,2020-07-02,up,11.1,12.3
607,2020-08-07,up,10.2,10.5
608,2020-09-04,up,8.4,9.8
609,2020-10-02,up,7.9,8.2
610,2020-11-06,up,6.9,7.7
611,2020-12-04,up,6.7,6.8
612,2021-01-08,up,6.7,6.8
613,2021-02-05,up,6.3,6.7
614,2021-03-05,up,6.2,6.3
615,2021-04-02,neutral,6.0,6.0
616,2021-05-07,down,6.1,5.8
617,2021-06-04,up,5.8,5.9
618,2021-07-02,down,5.9,5.7
619,2021-08-06,up,5.4,5.7
620,2021-09-03,neutral,5.2,5.2
621,2021-10-08,up,4.8,5.1
622,2021-11-05,up,4.6,4.7
623,2021-12-03,up,4.2,4.5
624,2022-01-07,up,3.9,4.1
625,2022-02-04,down,4.0,3.9
626,2022-03-04,up,3.8,3.9
627,2022-04-01,up,3.6,3.7
628,2022-05-06,down,3.6,3.5
629,2022-06-03,down,3.6,3.5
630,2022-07-08,neutral,3.6,3.6
631,2022-08-05,up,3.5,3.6
632,2022-09-02,down,3.7,3.5
633,2022-10-07,up,3.5,3.7
634,2022-11-04,down,3.7,3.6
635,2022-12-02,up,3.6,3.7
636,2023-01-06,up,3.5,3.7
637,2023-02-03,up,3.4,3.6
638,2023-03-10,down,3.6,3.4
639,2023-04-07,up,3.5,3.6
640,2023-05-05,up,3.4,3.6
641,2023-06-02,down,3.7,3.5
